"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
4,6,105,1,1,1,169,1,1,2,2709000000,72861432,72861432,66,495656,23291413323,11723256,0,0,0,0
4,6,493,1,1,1,169,1,1,2,2710006000,44056488,44056488,66,299704,10848970169,5460607,0,0,0,0
4,6,249,1,1,1,169,1,1,2,2710006000,189810075,189810075,66,1291225,48510804149,24416920,0,0,0,0
4,6,611,1,1,1,169,1,1,2,2711120000,2331113,2331113,66,19965,758882563,381968,0,0,0,0
4,6,249,1,1,1,169,1,1,2,2710009900,83678238,83678238,66,664113,34997940975,17615497,0,0,0,0
4,6,245,1,1,1,169,1,1,2,2710002000,21145824,21145824,66,167824,10044342227,5055614,0,0,0,0
4,6,249,1,1,1,169,1,1,2,2710002000,18737586,18737586,66,148711,9418499743,4740609,0,0,0,0
4,6,249,1,1,1,169,1,1,2,2709000000,1571634330,1571634330,66,10691390,537000000000,270439307,0,0,0,0
4,40,589,1,1,1,169,1,1,2,2709000000,59245410,59245410,66,403030,19001273577,9563902,0,0,0,0
4,11,850,5,5,4,850,1,1,1,4016930000,233,224,11,126860,4108640,2068,227,0,0,1801
4,11,850,5,5,4,850,1,1,1,3926904000,192,185,11,10000,5960310,3000,188,0,0,1776
4,11,249,5,5,4,169,1,1,1,6203420000,1120,1008,15,168,33405551,16814,0,0,0,9936
4,19,245,20,20,1,218,1,2,1,2701120010,144966810,144966810,42,144967,6874935464,3460358,0,0,0,3116986
4,19,249,20,20,1,361,1,2,1,2701120010,40984330,40984330,42,40984,1943649144,978296,0,0,0,882120
4,19,628,20,20,1,434,1,2,1,2701120010,63512750,63512750,42,63512,3012040672,1516049,0,0,0,1365612
4,19,628,20,20,1,741,1,2,1,2701120010,147942790,147942790,42,147942,7016067657,3531394,0,0,0,3180974
4,2,249,2,2,1,169,1,1,2,901110000,72963,72360,25,1206,368069010,185260,0,0,0,0
4,2,245,2,2,1,169,1,1,2,901110000,17666,17520,25,292,71480011,35978,0,0,0,0
4,2,386,2,2,1,169,1,1,2,901110000,88330,87600,25,1460,444221904,223590,0,0,0,0
4,2,399,2,2,1,169,1,1,2,901110000,35211,34920,25,582,163652232,82371,0,0,0,0
4,35,23,2,2,1,169,1,1,2,2101110000,41722,41377,33,0,806865046,406119,0,0,0,0
4,35,23,2,2,1,169,1,1,2,901110000,2550983,2529900,25,42165,11927106804,6003265,0,0,0,0
4,35,69,2,2,1,169,1,1,2,2101110000,5050,5008,33,0,116722738,58750,0,0,0,0
4,35,69,2,2,1,169,1,1,2,901110000,38780,38460,25,641,195464393,98383,0,0,0,0
4,35,72,2,2,1,169,1,1,2,901110000,192269,190680,25,3178,864580714,435169,0,0,0,0
4,35,87,2,2,1,169,1,1,2,2101110000,22990,22800,33,0,543580272,273600,0,0,0,0
4,35,87,2,2,1,169,1,1,2,901110000,963039,955080,25,15918,4404818098,2217075,0,0,0,0
4,35,149,2,2,1,169,1,1,2,2101110000,6283,6231,33,0,182862311,92040,0,0,0,0
4,35,149,2,2,1,169,1,1,2,901110000,2287808,2268900,25,37815,11085336196,5579577,0,0,0,0
4,35,211,2,2,1,169,1,1,2,901110000,123360,122340,25,2039,584742173,294318,0,0,0,0
4,35,190,2,2,1,169,1,1,2,2101110000,13845,13731,33,0,173154953,87154,0,0,0,0
4,35,190,2,2,1,169,1,1,2,901110000,872350,865140,25,14419,4218149136,2123119,0,0,0,0
4,35,232,2,2,1,169,1,1,2,901110000,208544,206820,25,3447,985724015,496144,0,0,0,0
4,35,244,2,2,1,169,1,1,2,2101110000,3397,3369,33,0,65334931,32885,0,0,0,0
4,35,249,2,2,1,169,1,1,2,2101110000,190505,188931,33,0,2348463465,1182051,0,0,0,0
4,35,249,2,2,1,169,1,1,2,901110000,15378737,15251640,25,254194,74251277062,37372860,0,0,0,0
4,35,249,2,2,1,169,1,1,2,901120000,72298,71700,33,0,95144429,47889,0,0,0,0
4,35,245,2,2,1,169,1,1,2,901110000,349267,346380,25,5773,1673543789,842344,0,0,0,0
4,35,676,2,2,1,169,1,1,2,2101110000,58988,58500,33,0,1417957749,713700,0,0,0,0
4,35,271,2,2,1,169,1,1,2,901110000,38781,38460,25,641,180223880,90712,0,0,0,0
4,35,275,2,2,1,169,1,1,2,2101110000,9587,9508,33,0,114755835,57760,0,0,0,0
4,35,275,2,2,1,169,1,1,2,901110000,255250,253140,25,4219,1082201566,544704,0,0,0,0
4,35,573,2,2,1,169,1,1,2,2101110000,13613,13500,33,0,174339068,87750,0,0,0,0
4,35,573,2,2,1,169,1,1,2,901110000,197230,195600,25,3260,947723065,477017,0,0,0,0
4,35,351,2,2,1,169,1,1,2,901110000,17606,17460,25,291,105775635,53240,0,0,0,0
4,35,375,2,2,1,169,1,1,2,901110000,35211,34920,25,582,158454841,79755,0,0,0,0
4,35,383,2,2,1,169,1,1,2,901110000,75807,75180,25,1253,358325890,180356,0,0,0,0
4,35,386,2,2,1,169,1,1,2,901110000,38841,38520,25,642,190986213,96129,0,0,0,0
4,35,399,2,2,1,169,1,1,2,2101110000,89587,88846,33,0,1740191975,875890,0,0,0,0
4,35,399,2,2,1,169,1,1,2,901110000,4589651,4551720,25,75862,22503267624,11326559,0,0,0,0
4,35,455,2,2,1,169,1,1,2,901110000,7079,7020,25,117,33564492,16894,0,0,0,0
4,35,548,2,2,1,169,1,1,2,901110000,17606,17460,25,291,86768206,43673,0,0,0,0
4,35,589,2,2,1,169,1,1,2,2101110000,3607,3577,33,0,67073355,33760,0,0,0,0
4,35,589,2,2,1,169,1,1,2,901211000,726,720,33,0,3456980,1740,0,0,0,0
4,35,589,2,2,1,169,1,1,2,901212000,605,600,33,0,3377509,1700,0,0,0,0
4,35,603,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,226265288,113886,0,0,0,0
4,35,603,2,2,1,169,1,1,2,901110000,371890,368820,25,6147,1540777884,775519,0,0,0,0
4,35,607,2,2,1,169,1,1,2,901110000,19421,19260,25,321,79186692,39857,0,0,0,0
4,35,628,2,2,1,169,1,1,2,2101110000,39162,38838,33,0,470755218,236945,0,0,0,0
4,35,628,2,2,1,169,1,1,2,901110000,134067,132960,25,2216,674130929,339310,0,0,0,0
4,35,644,2,2,1,169,1,2,2,2101110000,57475,57000,33,0,1987,1,0,0,0,0
4,35,670,2,2,1,169,1,1,2,901110000,19421,19260,25,321,92720569,46669,0,0,0,0
4,35,741,2,2,1,169,1,1,2,901110000,17666,17520,25,292,84751635,42658,0,0,0,0
4,35,756,2,2,1,169,1,1,2,2101110000,10145,10062,33,0,167870144,84494,0,0,0,0
4,35,756,2,2,1,169,1,1,2,901110000,37087,36780,25,613,174096682,87628,0,0,0,0
4,35,764,2,2,1,169,1,1,2,901110000,310184,307620,25,5127,1524291666,767221,0,0,0,0
4,35,767,2,2,1,169,1,1,2,901110000,126990,125940,25,2099,576556680,290198,0,0,0,0
4,35,218,2,2,1,169,1,1,2,901110000,70543,69960,25,1166,352373527,177360,0,0,0,0
4,6,23,2,2,1,169,1,1,2,2101110000,28248,28015,33,0,358810662,180600,0,0,0,0
4,6,23,2,2,1,169,1,1,2,901110000,597257,592320,25,9872,2842789722,1430860,0,0,0,0
4,6,47,2,2,1,169,1,1,2,2101110000,2629,2608,33,0,42175154,21228,0,0,0,0
4,6,63,2,2,1,169,1,1,2,2101110000,3956,3923,33,0,87290727,43936,0,0,0,0
4,6,63,2,2,1,169,1,1,2,901110000,168915,167520,25,2792,731969777,368422,0,0,0,0
4,6,69,2,2,1,169,1,1,2,2101110000,26504,26285,33,0,375310787,188905,0,0,0,0
4,6,87,2,2,1,169,1,1,2,2101110000,17149,17008,33,0,442109968,222527,0,0,0,0
4,6,87,2,2,1,169,1,1,2,901110000,575718,570960,25,9516,2643526625,1330565,0,0,0,0
4,6,149,2,2,1,169,1,1,2,901110000,84519,83820,25,1397,394759278,198694,0,0,0,0
4,6,232,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,135845399,68375,0,0,0,0
4,6,232,2,2,1,169,1,1,2,901110000,148225,147000,25,2450,697427794,351036,0,0,0,0
4,6,249,2,2,1,169,1,1,2,2101110000,56009,55546,33,0,1124571423,566030,0,0,0,0
4,6,249,2,2,1,169,1,1,2,901212000,1815,1800,33,0,15496806,7800,0,0,0,0
4,6,249,2,2,1,169,1,1,2,901110000,352171,349260,25,5821,1764057057,887902,0,0,0,0
4,6,245,2,2,1,169,1,1,2,2101110000,6306,6254,33,0,153712421,77368,0,0,0,0
4,6,245,2,2,1,169,1,1,2,901110000,886446,879120,25,14652,3646171960,1835226,0,0,0,0
4,6,245,2,2,1,169,1,1,2,901120000,20147,19980,33,0,118514804,59652,0,0,0,0
4,6,271,2,2,1,169,1,1,2,901110000,347149,344280,25,5738,1626057999,818443,0,0,0,0
4,6,275,2,2,1,169,1,1,2,2101110000,31670,31408,33,0,608192019,306121,0,0,0,0
4,6,275,2,2,1,169,1,1,2,901110000,559927,555300,25,9255,2678831528,1348335,0,0,0,0
4,6,301,2,2,1,169,1,1,2,901110000,52938,52500,25,875,258723150,130223,0,0,0,0
4,6,573,2,2,1,169,1,1,2,2101110000,90541,89792,33,0,1180852644,594358,0,0,0,0
4,6,573,2,2,1,169,1,1,2,901110000,21054,20880,25,348,101321296,50998,0,0,0,0
4,6,383,2,2,1,169,1,1,2,901110000,56507,56040,25,934,271623247,136716,0,0,0,0
4,6,386,2,2,1,169,1,1,2,901110000,1063953,1055160,25,17586,5166662935,2600534,0,0,0,0
4,6,399,2,2,1,169,1,1,2,2101110000,79627,78969,33,0,1634611044,822748,0,0,0,0
4,6,399,2,2,1,169,1,1,2,901110000,1226214,1216080,25,20268,6058959091,3049653,0,0,0,0
4,6,431,2,2,1,169,1,1,2,901110000,17606,17460,25,291,86261580,43418,0,0,0,0
4,6,455,2,2,1,169,1,1,2,2101110000,6818,6761,33,0,85158923,42863,0,0,0,0
4,6,538,2,2,1,169,1,1,2,901110000,159478,158160,25,2636,822840663,414160,0,0,0,0
4,6,586,2,2,1,169,1,1,2,2101110000,1978,1962,33,0,45882466,23094,0,0,0,0
4,6,603,2,2,1,169,1,1,2,901110000,122936,121920,25,2032,440830488,221883,0,0,0,0
4,6,607,2,2,1,169,1,1,2,901110000,17727,17580,25,293,71311136,35893,0,0,0,0
4,6,628,2,2,1,169,1,1,2,2101110000,137987,136846,33,0,2211578986,1113153,0,0,0,0
4,6,628,2,2,1,169,1,1,2,901110000,291731,289320,25,4822,1420121342,714789,0,0,0,0
4,6,715,2,2,1,169,1,1,2,2101110000,3281,3254,33,0,57276592,28829,0,0,0,0
4,6,744,2,2,1,169,1,1,2,901110000,35272,34980,25,583,179623876,90410,0,0,0,0
4,6,764,2,2,1,169,1,1,2,2101110000,16940,16800,33,0,405563334,204132,0,0,0,0
4,6,764,2,2,1,169,1,1,2,901110000,211569,209820,25,3497,970545092,488504,0,0,0,0
4,6,767,2,2,1,169,1,1,2,901110000,35211,34920,25,582,158840275,79949,0,0,0,0
4,19,23,2,2,1,169,1,1,2,901110000,1842044,1826820,25,30447,8631883857,4344682,0,0,0,0
4,19,87,2,2,1,169,1,1,2,901110000,17606,17460,25,291,85745020,43158,0,0,0,0
4,19,232,2,2,1,169,1,1,2,901110000,125901,124860,25,2081,601576075,302791,0,0,0,0
4,19,271,2,2,1,169,1,1,2,901110000,308369,305820,25,5097,1430214133,719869,0,0,0,0
4,19,275,2,2,1,169,1,1,2,901110000,252164,250080,25,4168,1006664571,506684,0,0,0,0
4,19,573,2,2,1,169,1,1,2,901110000,239762,237780,25,3963,1150645793,579154,0,0,0,0
4,19,399,2,2,1,169,1,1,2,901110000,763571,757260,25,12621,3707257190,1865972,0,0,0,0
4,19,538,2,2,1,169,1,1,2,901110000,260029,257880,25,4298,1261501598,634951,0,0,0,0
4,19,628,2,2,1,169,1,1,2,901110000,291731,289320,25,4822,1438075782,723826,0,0,0,0
4,19,764,2,2,1,169,1,1,2,901110000,405774,402420,25,6707,1924069526,968441,0,0,0,0
