"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
12,2,770,8,8,1,249,1,1,2,8437900000,1555,1555,11,557,26254196,12009,0,0,800,0
12,2,690,5,5,1,434,1,1,1,1905300000,5853,5200,33,0,15242256,6972,0,0,0,4908
12,19,249,20,47,1,434,1,2,1,2701120010,68879200,68879200,42,68879,3931758768,1798436,0,0,0,1619977
12,2,911,11,8,3,169,1,1,2,3809930000,560,540,33,0,1062498,486,0,0,0,0
12,2,911,5,8,3,169,1,1,2,5407510000,670,655,33,0,830760,380,0,0,0,0
12,2,911,8,8,3,169,1,1,2,5407510000,790,770,33,0,977236,447,0,0,0,0
12,2,911,11,8,3,169,1,1,2,2927000000,520,500,33,0,437242,200,0,0,0,0
12,2,911,11,8,3,169,1,1,2,5407510000,1300,1257,33,0,1593747,729,0,0,0,0
12,2,911,25,8,3,169,1,1,2,3812200000,10100,10000,33,0,32793150,15000,0,0,0,0
12,2,911,13,8,3,169,1,1,2,3904101000,5100,5000,33,0,13663813,6250,0,0,0,0
12,6,211,13,13,1,221,1,1,1,3902100000,16566,16500,33,0,27491591,12575,790,0,0,2056
12,11,850,5,5,4,169,1,1,1,6206200000,577,466,11,1555,28691820,13124,669,0,0,4463
12,2,399,2,2,1,169,1,1,2,901110000,286165,283800,25,4730,1015686931,464588,0,0,0,0
12,35,23,2,2,1,169,1,1,2,2101110000,150505,149262,33,0,2657714283,1215672,0,0,0,0
12,35,23,2,2,1,169,1,1,2,901110000,5550996,5505120,25,91752,18355517539,8396045,0,0,0,0
12,35,69,2,2,1,169,1,1,2,901110000,114224,113280,25,1888,379657229,173660,0,0,0,0
12,35,72,2,2,1,169,1,1,2,901110000,140965,139800,25,2330,496730960,227211,0,0,0,0
12,35,87,2,2,1,169,1,1,2,901110000,1475716,1463520,25,24392,5165974878,2362982,0,0,0,0
12,35,149,2,2,1,169,1,1,2,2101110000,23681,23515,33,0,595195673,272250,0,0,0,0
12,35,149,2,2,1,169,1,1,2,901110000,1503637,1491180,25,24853,5237017958,2395478,0,0,0,0
12,35,211,2,2,1,169,1,1,2,2101110000,931,923,33,0,15539581,7108,0,0,0,0
12,35,211,2,2,1,169,1,1,2,901110000,88270,87540,25,1459,326783740,149475,0,0,0,0
12,35,221,2,2,1,169,1,1,2,901110000,17666,17520,25,292,65844273,30118,0,0,0,0
12,35,190,2,2,1,169,1,1,2,901110000,366086,363060,25,6051,1308140616,598360,0,0,0,0
12,35,232,2,2,1,169,1,1,2,901110000,315387,312780,25,5213,1110430714,507925,0,0,0,0
12,35,239,2,2,1,169,1,1,2,2101110000,88749,88015,33,0,1476658055,675442,0,0,0,0
12,35,245,2,2,1,169,1,1,2,901110000,19421,19260,25,321,52633006,24075,0,0,0,0
12,35,249,2,2,1,169,1,1,2,2101110000,171448,170031,33,0,1935407989,885280,0,0,0,0
12,35,249,2,2,1,169,1,1,2,901110000,15178240,15052800,25,250880,54301125518,24838019,0,0,0,0
12,35,249,2,2,1,169,1,1,2,901120000,17606,17460,33,0,70155479,32090,0,0,0,0
12,35,676,2,2,1,169,1,1,2,2101110000,45980,45600,33,0,1191309553,544920,0,0,0,0
12,35,271,2,2,1,169,1,1,2,901110000,105754,104880,25,1748,360742140,165008,0,0,0,0
12,35,275,2,2,1,169,1,1,2,2101110000,33462,33185,33,0,374029924,171086,0,0,0,0
12,35,275,2,2,1,169,1,1,2,901110000,1216231,1206180,25,20103,3755419069,1717776,0,0,0,0
12,35,301,2,2,1,169,1,1,2,901110000,19360,19200,25,320,63907291,29232,0,0,0,0
12,35,573,2,2,1,169,1,1,2,901110000,2180420,2162400,25,36040,8266178065,3781054,0,0,0,0
12,35,351,2,2,1,169,1,1,2,901110000,17666,17520,25,292,67947407,31080,0,0,0,0
12,35,375,2,2,1,169,1,1,2,901110000,17545,17400,25,290,62569330,28620,0,0,0,0
12,35,383,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,261689337,119700,0,0,0,0
12,35,383,2,2,1,169,1,1,2,901110000,242847,240840,25,4014,827235629,378388,0,0,0,0
12,35,386,2,2,1,169,1,1,2,901110000,19421,19260,25,321,70109568,32069,0,0,0,0
12,35,399,2,2,1,169,1,1,2,2101110000,142291,141115,33,0,2508912086,1147608,0,0,0,0
12,35,399,2,2,1,169,1,1,2,901110000,3356540,3328800,25,55480,12071982716,5521877,0,0,0,0
12,35,447,2,2,1,169,1,1,2,901110000,17666,17520,25,292,63572801,29079,0,0,0,0
12,35,474,2,2,1,169,1,1,2,901110000,52817,52380,25,873,197054038,90135,0,0,0,0
12,35,538,2,2,1,169,1,1,2,901110000,447277,443580,25,7393,1556603382,712010,0,0,0,0
12,35,548,2,2,1,169,1,1,2,901110000,37087,36780,25,613,137154071,62736,0,0,0,0
12,35,589,2,2,1,169,1,1,2,2101110000,629,623,33,0,13899923,6358,0,0,0,0
12,35,603,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,226797425,103740,0,0,0,0
12,35,603,2,2,1,169,1,1,2,901110000,179927,178440,25,2974,545643037,249584,0,0,0,0
12,35,628,2,2,1,169,1,1,2,2101110000,19244,19085,33,0,458763051,209844,0,0,0,0
12,35,628,2,2,1,169,1,1,2,901110000,199105,197460,25,3291,697007472,318820,0,0,0,0
12,35,644,2,2,1,169,1,2,2,2101110000,137940,136800,33,0,2186,1,0,0,0,0
12,35,644,2,2,1,169,1,1,2,901110000,58201,57720,25,962,219132573,100234,0,0,0,0
12,35,670,2,2,1,169,1,1,2,901110000,40172,39840,25,664,115160798,52676,0,0,0,0
12,35,741,2,2,1,169,1,1,2,901110000,17606,17460,25,291,63738953,29155,0,0,0,0
12,35,744,2,2,1,169,1,1,2,901110000,19421,19260,25,321,76775323,35118,0,0,0,0
12,35,756,2,2,1,169,1,1,2,901110000,39507,39180,25,653,139379632,63754,0,0,0,0
12,35,764,2,2,1,169,1,1,2,901110000,240669,238680,25,3978,865067994,395693,0,0,0,0
12,35,767,2,2,1,169,1,1,2,2101110000,14288,14170,33,0,252916076,115687,0,0,0,0
12,35,218,2,2,1,169,1,1,2,2101110000,14031,13915,33,0,199633766,91315,0,0,0,0
12,35,218,2,2,1,169,1,1,2,901110000,35332,35040,25,584,139928371,64005,0,0,0,0
12,35,607,2,2,1,169,1,1,2,901110000,35211,34920,25,582,123426858,56457,0,0,0,0
