"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
2,7,850,54,54,3,850,1,1,2,7616999000,32,32,11,30,128742,66,0,0,0,0
2,7,850,54,54,3,850,1,1,2,7412200000,204,201,11,650,429141,220,0,0,0,0
2,7,850,54,54,3,850,1,1,2,8708394000,1365,1345,11,5010,5791450,2969,0,0,0,0
2,7,850,54,54,3,850,1,1,2,8421230000,114,112,11,400,409634,210,0,0,0,0
2,7,850,54,54,3,850,1,1,2,8708701090,492,485,11,3700,2906454,1490,0,0,0,0
2,7,850,54,54,3,850,1,1,2,8409917000,407,401,11,2450,9567889,4905,0,0,0,0
2,7,850,54,54,3,850,1,1,2,8485902000,152,150,11,210,1098210,563,0,0,0,0
2,7,850,54,54,3,850,1,1,2,3926909090,99,98,11,100,253583,130,0,0,0,0
2,6,580,1,1,1,169,1,1,2,2710006000,18185076,18185076,66,123708,7542982483,3866927,0,0,0,0
2,6,589,1,1,1,169,1,1,2,2710006000,32174625,32174625,66,218875,13238111991,6786548,0,0,0,0
2,6,580,1,1,1,169,1,1,2,2711130000,2747713,2747713,66,23533,1354409328,694341,0,0,0,0
2,6,249,1,1,1,169,1,1,2,2710006000,178803450,178803450,66,1216350,44043588339,22579045,0,0,0,0
2,6,589,1,1,1,169,1,1,2,2711120000,1712986,1712986,66,14671,723623069,370967,0,0,0,0
2,6,249,1,1,1,169,1,1,2,2710009900,54168912,54168912,66,429912,27102638857,13894229,0,0,0,0
2,6,580,1,1,1,169,1,1,2,2710002000,15891750,15891750,66,126125,7990014553,4096099,0,0,0,0
2,6,815,1,1,1,169,1,1,2,2709000000,83028393,83028393,66,564819,26825807929,13752311,0,0,0,0
2,6,249,1,1,1,169,1,1,2,2709000000,1683997602,1683997602,66,11455766,651000000000,333523936,0,0,0,0
2,2,249,2,2,1,169,1,1,2,901110000,88330,87600,25,1460,488586554,250475,0,0,0,0
2,5,647,76,76,4,580,1,1,1,3004902990,367,345,11,2400,3983207,2042,634,0,185,980
2,2,386,2,2,1,169,1,1,2,901110000,17666,17520,25,292,82147302,42113,0,0,0,0
2,19,275,20,20,1,923,1,2,1,2701120010,69824320,69824320,42,69824,3399604652,1742815,0,0,0,1569875
2,35,23,2,2,1,169,1,1,2,2101110000,120302,119308,33,0,1834613982,940519,0,0,0,0
