"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
7,2,741,8,8,4,169,1,2,2,4103200000,5489,4940,89,6000,376073160,174000,0,0,0,0
7,2,911,8,8,3,169,1,1,2,3901100000,1040,1000,33,0,1495647,692,0,0,0,0
7,27,249,88,88,1,580,1,1,2,303790000,586,510,33,0,3873121,1792,0,0,0,0
7,27,249,88,88,1,580,1,1,2,304200000,3595,3127,33,0,38381076,17758,0,0,0,0
7,6,215,25,25,1,301,1,1,2,4108000000,4075,4000,82,4651,101937440,47164,0,0,0,0
7,11,850,5,5,4,850,1,1,1,4016930000,139,127,11,305000,4884628,2260,228,0,0,1763
7,11,850,5,5,4,850,1,1,1,3926904000,13,12,11,45000,4863015,2250,22,0,0,1332
7,11,917,5,5,3,169,1,1,1,6104420000,506,472,11,1851,15406032,7128,0,0,0,6382
7,11,917,5,5,3,169,1,1,1,6105100000,943,880,11,3533,19813004,9167,0,0,0,8154
7,11,917,5,5,3,169,1,1,1,6109100000,299,279,11,2667,6129560,2836,0,0,0,2514
7,11,917,5,5,3,169,1,1,1,6110200000,1304,1216,11,5928,22013248,10185,0,0,0,8310
7,11,917,5,5,3,169,1,1,1,6111200000,723,674,11,7252,14653885,6780,0,0,0,5106
7,2,317,25,8,1,580,1,1,2,4901990090,914,880,11,7221,22616262,10464,0,0,0,0
7,7,850,25,25,3,850,1,1,1,3923210000,3434,3191,13,432,46918369,21708,217,107,0,16392
7,6,196,76,76,1,221,1,1,1,1702302000,20803,20100,33,0,12293702,5688,0,0,0,2594
7,11,493,5,5,4,169,1,1,2,6109909000,103,80,11,614,8392483,3883,0,0,0,0
7,11,493,5,5,4,169,1,1,2,6204620000,170,132,11,549,13828253,6398,0,0,0,0
7,11,493,5,5,4,169,1,1,2,6109100000,407,316,11,2229,33118212,15323,0,0,0,0
7,11,493,5,5,4,169,1,1,2,6203430000,222,172,11,795,18003962,8330,0,0,0,0
7,11,493,5,5,4,169,1,1,2,6104630000,44,34,11,265,3510016,1624,0,0,0,0
7,11,493,5,5,4,169,1,1,2,6207920000,33,26,11,137,2684384,1242,0,0,0,0
7,11,493,5,5,4,169,1,1,2,6203420000,77,60,11,283,6369469,2947,0,0,0,0
7,7,850,25,25,3,850,1,1,1,7306300099,31599,31599,33,0,51331825,23750,2180,59,0,14547
7,6,391,76,76,1,301,1,1,1,8544599000,117271,88538,91,88737,448767670,207634,6400,425,0,84549
7,2,386,2,2,1,169,1,1,2,901110000,141268,140100,25,2335,597696964,276540,0,0,0,0
7,2,399,2,2,1,169,1,1,2,901110000,72056,71460,25,1191,348859728,161409,0,0,0,0
7,35,23,2,2,1,169,1,1,2,2101110000,107108,106223,33,0,1973608169,913141,0,0,0,0
7,35,23,2,2,1,169,1,1,2,901110000,8490691,8420520,25,140342,38982803583,18036405,0,0,0,0
7,35,63,2,2,1,169,1,1,2,901110000,20147,19980,25,333,88954270,41157,0,0,0,0
7,35,69,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,131301405,60750,0,0,0,0
7,35,69,2,2,1,169,1,1,2,901110000,37087,36780,25,613,172485739,79805,0,0,0,0
7,35,72,2,2,1,169,1,1,2,901110000,35272,34980,25,583,160053711,74053,0,0,0,0
7,35,87,2,2,1,169,1,1,2,901110000,874891,867660,25,14461,3762925360,1741015,0,0,0,0
7,35,111,2,2,1,169,1,1,2,901110000,20147,19980,25,333,95207027,44050,0,0,0,0
7,35,149,2,2,1,169,1,1,2,2101110000,11332,11238,33,0,321045444,148540,0,0,0,0
7,35,149,2,2,1,169,1,1,2,901110000,2154647,2136840,25,35614,9616331188,4449245,0,0,0,0
7,35,211,2,2,1,169,1,1,2,901211000,1210,1200,33,0,9077628,4200,0,0,0,0
7,35,211,2,2,1,169,1,1,2,901110000,105936,105060,25,1751,497784699,230313,0,0,0,0
7,35,190,2,2,1,169,1,1,2,901110000,454174,450420,25,7507,1963812976,908609,0,0,0,0
7,35,232,2,2,1,169,1,1,2,901110000,337711,334920,25,5582,1582630408,732245,0,0,0,0
7,35,239,2,2,3,169,1,1,2,2101110000,55985,55523,33,0,920964265,426108,0,0,0,0
7,35,249,2,2,1,169,1,1,2,2101110000,208655,206931,33,0,2638051634,1220563,0,0,0,0
7,35,249,2,2,1,169,1,1,2,901110000,10205988,10121640,25,168694,47935819525,22178750,0,0,0,0
7,35,245,2,2,1,169,1,1,2,901110000,132737,131640,25,2194,614358734,284249,0,0,0,0
7,35,676,2,2,1,169,1,1,2,2101110000,71273,70685,33,0,1922849099,889656,0,0,0,0
7,35,271,2,2,1,169,1,1,2,901110000,123239,122220,25,2037,549719538,254342,0,0,0,0
7,35,275,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,134312152,62143,0,0,0,0
7,35,275,2,2,1,169,1,1,2,901110000,971993,963960,25,16066,3928665557,1817699,0,0,0,0
7,35,573,2,2,1,169,1,1,2,901110000,914095,906540,25,15109,4210048250,1947888,0,0,0,0
7,35,351,2,2,1,169,1,1,2,901110000,70543,69960,25,1166,318190313,147219,0,0,0,0
7,35,383,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,290743457,134520,0,0,0,0
7,35,383,2,2,1,169,1,1,2,901110000,188821,187260,25,3121,859902087,397856,0,0,0,0
7,35,386,2,2,1,169,1,1,2,901110000,19421,19260,25,321,111425722,51554,0,0,0,0
7,35,399,2,2,1,169,1,1,2,2101110000,111529,110608,33,0,2368487148,1095842,0,0,0,0
7,35,399,2,2,1,169,1,1,2,901110000,4417408,4380900,25,73015,20076877458,9289088,0,0,0,0
7,35,493,2,2,1,169,1,1,2,901212000,30008,29760,33,0,98989372,45800,0,0,0,0
7,35,538,2,2,1,169,1,1,2,901110000,58322,57840,25,964,275596786,127512,0,0,0,0
7,35,548,2,2,1,169,1,1,2,901110000,56447,55980,25,933,249982746,115661,0,0,0,0
7,35,589,2,2,1,169,1,1,2,2101110000,4258,4223,33,0,87594788,40528,0,0,0,0
7,35,603,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,246146367,113886,0,0,0,0
7,35,603,2,2,1,169,1,1,2,901110000,160567,159240,25,2654,588174100,272134,0,0,0,0
7,35,628,2,2,1,169,1,1,2,2101110000,11821,11723,33,0,425751560,196985,0,0,0,0
7,35,628,2,2,1,169,1,1,2,901110000,224032,222180,25,3703,1022132267,472916,0,0,0,0
7,35,644,2,2,1,169,1,2,2,2101110000,57475,57000,33,0,2161,1,0,0,0,0
7,35,670,2,2,1,169,1,1,2,901110000,38670,38340,25,639,162072403,74987,0,0,0,0
7,35,744,2,2,1,169,1,1,2,901110000,74052,73440,25,1224,363414192,168143,0,0,0,0
