"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
3,6,47,1,1,1,169,1,1,2,2710006000,46135509,46135509,66,313847,11817256313,6040770,0,0,0,0
3,6,493,1,1,1,169,1,1,2,2710006000,47825274,47825274,66,325342,12423509925,6350676,0,0,0,0
3,6,249,1,1,1,169,1,1,2,2710006000,183735153,183735153,66,1249899,45937499775,23482428,0,0,0,0
3,6,611,1,1,1,169,1,1,2,2710006000,35216349,35216349,66,239567,10153459819,5190267,0,0,0,0
3,6,249,1,1,1,169,1,1,2,2710009900,54418014,54418014,66,431889,27324207488,13967646,0,0,0,0
3,6,249,1,1,1,169,1,1,2,2710002000,20154204,20154204,66,159954,9886236069,5053667,0,0,0,0
3,6,249,1,1,1,169,1,1,2,2709000000,1565009628,1565009628,66,10646324,583000000000,298173675,0,0,0,0
3,6,589,1,1,1,169,1,1,2,2709000000,61675026,61675026,66,419558,24477781575,12512604,0,0,0,0
3,5,850,76,76,4,169,1,1,1,3004401990,1140,1033,11,36488,54047275,27628,0,0,255,24214
3,19,573,20,20,1,434,1,2,1,2701120010,154493420,154493420,42,154493,7214176588,3687758,0,0,0,3321822
3,19,249,20,20,1,538,1,2,1,2701120010,37111730,37111730,42,37112,1732957756,885857,0,0,0,797953
3,19,247,20,20,1,221,1,2,1,2701120010,36931060,36931060,42,36931,1724520450,881544,0,0,0,794069
3,19,249,20,20,1,607,1,2,1,2701120010,71307650,71307650,42,71307,3329760513,1702114,0,0,0,1533213
3,19,628,20,20,1,434,1,2,1,2701120010,63040080,63040080,42,63040,2943700444,1504767,0,0,0,1355449
3,19,249,20,20,1,218,1,2,1,2701120010,68662210,68662210,42,68662,3206229194,1638967,0,0,0,1476332
3,19,249,20,20,1,221,1,2,1,2701120010,65717230,65717230,42,65717,3068710688,1568670,0,0,0,1413011
3,19,628,20,20,1,538,1,2,1,2701120010,65304220,65304220,42,65304,3188673806,1629993,0,0,0,1468249
3,19,628,20,20,1,361,1,2,1,2701120010,65418080,65418080,42,65418,3194233469,1632835,0,0,0,1470809
3,19,628,20,20,1,301,1,2,1,2701120010,64070700,64070700,42,64071,3128444781,1599205,0,0,0,1440516
3,19,249,20,20,1,301,1,2,1,2701120010,216634010,216634010,42,216633,10419435481,5326229,0,0,0,4797708
3,19,275,20,20,1,218,1,2,1,2701120010,142012600,142012600,42,142012,6934192219,3544635,0,0,0,3192900
3,2,249,2,2,1,169,1,1,2,901110000,17606,17460,25,291,91384263,46714,0,0,0,0
3,2,386,2,2,1,169,1,1,2,901110000,19421,19260,25,321,99127100,50672,0,0,0,0
3,2,399,2,2,1,169,1,1,2,901110000,53845,53400,25,890,255746431,130733,0,0,0,0
3,35,23,2,2,1,169,1,1,2,901110000,3028872,3003840,25,50064,13273105388,6784974,0,0,0,0
3,35,23,2,2,1,169,1,1,2,2101110000,93845,93069,33,0,1403128138,717254,0,0,0,0
3,35,69,2,2,1,169,1,1,2,901110000,37692,37380,25,623,179840019,91931,0,0,0,0
3,35,69,2,2,1,169,1,1,2,2101110000,10076,9992,33,0,229859375,117500,0,0,0,0
3,35,72,2,2,1,169,1,1,2,901110000,17666,17520,25,292,81252844,41535,0,0,0,0
3,35,97,2,2,1,169,1,1,2,2101110000,7702,7638,33,0,138430119,70763,0,0,0,0
3,35,87,2,2,1,169,1,1,2,901110000,326458,323760,25,5396,1585041781,810245,0,0,0,0
3,35,149,2,2,1,169,1,1,2,2101110000,5050,5008,33,0,112484375,57500,0,0,0,0
3,35,149,2,2,1,169,1,1,2,901110000,458347,454560,25,7576,2230218900,1140048,0,0,0,0
3,35,211,2,2,1,169,1,1,2,2101110000,17335,17192,33,0,298261613,152466,0,0,0,0
3,35,211,2,2,1,169,1,1,2,901110000,88271,87540,25,1459,400147025,204548,0,0,0,0
3,35,190,2,2,1,169,1,1,2,2101110000,13845,13731,33,0,170495013,87154,0,0,0,0
3,35,190,2,2,1,169,1,1,2,901110000,279147,276840,25,4614,1311481738,670406,0,0,0,0
3,35,232,2,2,1,169,1,1,2,901110000,105875,105000,25,1750,548127556,280193,0,0,0,0
3,35,249,2,2,1,169,1,1,2,2101110000,128167,127107,33,0,1359192719,694795,0,0,0,0
3,35,249,2,2,1,169,1,1,2,901110000,5467083,5421900,25,90365,26624053875,13609740,0,0,0,0
3,35,249,2,2,1,169,1,2,2,901120000,52817,52380,33,0,1956,1,0,0,0,0
3,35,245,2,2,1,169,1,1,2,901110000,155788,154500,25,2575,776329988,396846,0,0,0,0
3,35,275,2,2,1,169,1,1,2,2101110000,23874,23677,33,0,225021569,115027,0,0,0,0
3,35,275,2,2,1,169,1,1,2,901110000,306797,304260,25,5071,1450297238,741366,0,0,0,0
3,35,573,2,2,1,169,1,1,2,2101110000,24456,24254,33,0,467397031,238925,0,0,0,0
3,35,573,2,2,1,169,1,1,2,901110000,333355,330600,25,5510,1688278963,863018,0,0,0,0
3,35,351,2,2,1,169,1,1,2,2101110000,7563,7500,33,0,128091338,65478,0,0,0,0
3,35,351,2,2,1,169,1,1,2,901110000,70543,69960,25,1166,325488700,166384,0,0,0,0
3,35,375,2,2,1,169,1,1,2,901110000,17606,17460,25,291,83659031,42765,0,0,0,0
3,35,386,2,2,1,169,1,1,2,901110000,75928,75300,25,1255,376362938,192390,0,0,0,0
3,35,399,2,2,1,169,1,1,2,2101110000,75532,74907,33,0,1004618494,513543,0,0,0,0
3,35,399,2,2,1,169,1,1,2,901110000,2494960,2474340,25,41239,11259439450,5755624,0,0,0,0
3,35,538,2,2,1,169,1,1,2,901110000,77682,77040,25,1284,376621163,192522,0,0,0,0
3,35,548,2,2,1,169,1,1,2,901110000,37026,36720,25,612,175170450,89544,0,0,0,0
3,35,603,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,222789488,113886,0,0,0,0
3,35,603,2,2,1,169,1,1,2,901110000,123239,122220,25,2037,611623519,312651,0,0,0,0
3,35,607,2,2,1,169,1,1,2,901110000,19421,19260,25,321,80820513,41314,0,0,0,0
3,35,628,2,2,1,169,1,1,2,2101110000,50192,49777,33,0,878902044,449279,0,0,0,0
3,35,628,2,2,1,169,1,1,2,901110000,208181,206460,25,3441,1027557481,525269,0,0,0,0
3,35,644,2,2,1,169,1,1,2,901110000,97103,96300,25,1605,489005769,249971,0,0,0,0
3,35,670,2,2,1,169,1,1,2,901110000,58201,57720,25,962,281271581,143781,0,0,0,0
3,35,741,2,2,1,169,1,1,2,901110000,17666,17520,25,292,84643025,43268,0,0,0,0
3,35,756,2,2,1,169,1,1,2,2101110000,3374,3346,33,0,55035181,28133,0,0,0,0
3,35,764,2,2,1,169,1,1,2,901110000,326821,324120,25,5402,1599072006,817417,0,0,0,0
3,35,218,2,2,1,169,1,1,2,901110000,17666,17520,25,292,89416275,45708,0,0,0,0
3,35,644,2,2,1,169,1,2,2,2101110000,80199,79800,33,0,1956,1,0,0,0,0
3,6,23,2,2,1,169,1,1,2,2101110000,98010,97200,33,0,1308234363,668746,0,0,0,0
3,6,23,2,2,1,169,1,1,2,901110000,322828,320160,25,5336,1492018181,762693,0,0,0,0
3,6,63,2,2,1,169,1,1,2,901110000,172909,171480,25,2858,778536638,397974,0,0,0,0
3,6,69,2,2,1,169,1,1,2,2101110000,12891,12785,33,0,196564000,100480,0,0,0,0
3,6,111,2,2,1,169,1,1,2,901110000,17606,17460,25,291,84907119,43403,0,0,0,0
3,6,87,2,2,1,169,1,1,2,2101110000,20965,20792,33,0,441971650,225928,0,0,0,0
3,6,87,2,2,1,169,1,1,2,901110000,243332,241320,25,4022,1145182881,585397,0,0,0,0
3,6,149,2,2,1,169,1,1,2,901110000,42350,42000,25,700,195990819,100187,0,0,0,0
3,6,232,2,2,1,169,1,1,2,2101110000,19663,19500,33,0,435377131,222557,0,0,0,0
3,6,232,2,2,1,169,1,1,2,901110000,21175,21000,25,350,102544669,52419,0,0,0,0
3,6,249,2,2,1,169,1,1,2,2101110000,33089,32815,33,0,459730488,235006,0,0,0,0
3,6,249,2,2,1,169,1,1,2,901212000,4477,4440,33,0,34400656,17585,0,0,0,0
