"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
108,2,399,2,2,1,169,1,1,2,901110000,177568,176100,25,2935,708714396,309631,0,0,0,0
108,35,23,2,2,1,169,1,1,2,2101110000,57475,57000,33,0,1279884213,559170,0,0,0,0
108,35,23,2,2,1,169,1,1,2,901110000,5209534,5166480,25,86108,16984169025,7420232,0,0,0,0
108,35,53,2,2,1,169,1,1,2,901110000,17606,17460,25,291,74295405,32459,0,0,0,0
108,35,69,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,118656576,51840,0,0,0,0
108,35,69,2,2,1,169,1,1,2,901110000,74657,74040,25,1234,250160748,109293,0,0,0,0
108,35,87,2,2,1,169,1,1,2,901110000,544863,540360,25,9006,1808787203,790243,0,0,0,0
108,35,149,2,2,1,169,1,1,2,2101110000,15314,15092,33,0,470726018,205656,0,0,0,0
108,35,149,2,2,1,169,1,1,2,901110000,2239009,2220600,25,37010,7294101719,3186728,0,0,0,0
108,35,211,2,2,1,169,1,1,2,2101110000,5399,5354,33,0,100420910,43873,0,0,0,0
108,35,211,2,2,1,169,1,1,2,901110000,52997,52560,25,876,155537622,67953,0,0,0,0
108,35,190,2,2,1,169,1,1,2,901110000,620367,615240,25,10254,1988701609,868846,0,0,0,0
108,35,232,2,2,1,169,1,1,2,901110000,252527,250440,25,4174,805850734,352069,0,0,0,0
108,35,239,2,2,1,169,1,1,2,2101110000,22804,22615,33,0,345253098,150838,0,0,0,0
108,35,240,2,2,1,193,1,1,2,901110000,19360,19200,25,320,69513893,30370,0,0,0,0
108,35,245,2,2,1,169,1,1,2,901110000,30492,30240,25,504,83233560,36364,0,0,0,0
108,35,249,2,2,1,169,1,1,2,2101110000,100012,99185,33,0,1144896336,500195,0,0,0,0
108,35,249,2,2,1,169,1,1,2,901110000,10333460,10248060,25,170801,32830468637,14343339,0,0,0,0
108,35,249,2,2,1,169,1,1,2,901120000,88088,87360,33,0,201908447,88212,0,0,0,0
108,35,676,2,2,1,169,1,1,2,2101110000,48284,47885,33,0,1174205700,513000,0,0,0,0
108,35,271,2,2,1,169,1,1,2,901110000,253737,251640,25,4194,844375210,368900,0,0,0,0
108,35,275,2,2,1,169,1,1,2,901110000,510257,506040,25,8434,1604328921,700917,0,0,0,0
108,35,573,2,2,1,169,1,1,2,901110000,952210,944340,25,15739,3188636834,1393087,0,0,0,0
108,35,351,2,2,1,169,1,1,2,901110000,17545,17400,25,290,54929022,23998,0,0,0,0
108,35,375,2,2,1,169,1,1,2,901110000,17606,17460,25,291,54922156,23995,0,0,0,0
108,35,383,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,267457965,116850,0,0,0,0
108,35,383,2,2,1,169,1,1,2,901110000,114224,113280,25,1888,330755206,144504,0,0,0,0
108,35,386,2,2,1,169,1,1,2,901110000,58020,57540,25,959,186524750,81491,0,0,0,0
108,35,399,2,2,1,169,1,1,2,2101110000,73063,69346,33,0,1395794109,609810,0,0,0,0
108,35,399,2,2,1,169,1,1,2,901110000,3972914,3940080,25,65668,12962368013,5663143,0,0,0,0
108,35,403,2,2,1,169,1,1,2,901110000,37026,36720,25,612,127047683,55506,0,0,0,0
108,35,474,2,2,1,169,1,1,2,901110000,19421,19260,25,321,65325206,28540,0,0,0,0
108,35,538,2,2,1,169,1,1,2,901110000,196202,194580,25,3243,638857168,279111,0,0,0,0
108,35,548,2,2,1,169,1,1,2,901110000,56326,55860,25,931,179387960,78373,0,0,0,0
108,35,589,2,2,1,169,1,1,2,2101110000,88400,87670,33,0,586402447,256194,0,0,0,0
108,35,603,2,2,1,169,1,1,2,2101110000,22990,22800,33,0,474900972,207480,0,0,0,0
108,35,603,2,2,1,169,1,1,2,901110000,56326,55860,25,931,167243056,73067,0,0,0,0
108,35,607,2,2,1,169,1,1,2,901110000,17606,17460,25,291,55045756,24049,0,0,0,0
108,35,628,2,2,1,169,1,1,2,2101110000,13171,13062,33,0,150845377,65903,0,0,0,0
108,35,628,2,2,1,169,1,1,2,901110000,200739,199080,25,3318,584619394,255415,0,0,0,0
108,35,644,2,2,1,169,1,2,2,2101110000,57475,57000,33,0,2289,1,0,0,0,0
108,35,644,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,132870645,58050,0,0,0,0
