"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
101,6,249,2,2,1,169,1,1,2,901211000,61,60,33,0,354141,158,0,0,0,0
101,6,249,2,2,1,169,1,1,2,901212000,242,240,33,0,1775189,792,0,0,0,0
101,6,196,1,1,1,169,1,1,2,2711130000,115359,115359,66,988,69035120,30800,0,0,0,0
101,6,815,1,1,1,169,1,1,2,2709000000,77171178,77171178,66,524974,29205116997,13029855,0,0,0,0
101,6,105,1,1,1,169,1,1,2,2710005000,14038500,14038500,66,95500,7342790538,3275984,0,0,0,0
101,6,611,1,1,1,169,1,1,2,2710006000,49355985,49355985,66,335755,15344725263,6846045,0,0,0,0
101,6,249,1,1,1,169,1,1,2,2710006000,121143288,121143288,66,824104,37620870197,16784541,0,0,0,0
101,6,77,1,1,1,169,1,1,2,2710006000,48047832,48047832,66,326856,13925179401,6212715,0,0,0,0
101,6,196,1,1,1,169,1,1,2,2711120000,4627549,4627549,66,39633,2617432954,1167767,0,0,0,0
101,6,105,1,1,1,169,1,1,2,2710001100,18512532,18512532,66,158552,12250427735,5465525,0,0,0,0
101,6,249,1,1,1,169,1,1,2,2710001100,22976733,22976733,66,196786,15079511608,6727720,0,0,0,0
101,6,249,1,1,1,169,1,1,2,2710009900,54922266,54922266,66,435891,33833538514,15094824,0,0,0,0
101,6,249,1,1,1,169,1,1,2,2709000000,1529615282,1529615262,66,10405546,616000000000,274676429,0,0,0,0
101,7,850,2,2,3,169,1,1,2,2101110000,5538,5492,33,0,108909626,48590,0,0,0,0
101,11,199,5,5,4,580,1,1,2,3923309090,7,6,11,3,152415,68,17,0,0,0
101,11,199,5,5,4,580,1,1,2,8413702100,20,18,11,9,3061752,1366,51,6,0,0
101,11,199,5,5,4,580,1,1,2,7316000000,23,20,11,5,394486,176,56,1,0,0
101,11,199,5,5,4,580,1,1,2,8479899000,25,22,11,8,3292617,1469,62,7,0,0
101,11,196,5,5,4,580,1,1,2,6109909000,235,218,15,3020,33076340,14757,0,0,0,0
101,11,611,5,5,4,580,1,1,2,4205000000,9,9,11,492,329486,147,0,0,0,0
101,11,611,5,5,4,580,1,1,2,4203300000,15,15,11,120,645523,288,0,0,0,0
101,11,611,5,5,4,580,1,1,2,4202220000,537,520,11,569,22203308,9906,0,0,0,0
101,11,611,5,5,4,580,1,1,2,4420100000,137,133,11,3289,5693156,2540,0,0,0,0
101,11,611,5,5,4,580,1,1,2,6307909000,44,43,11,267,1795361,801,0,0,0,0
101,11,611,5,5,4,580,1,1,2,6506920000,27,26,11,98,1100527,491,0,0,0,0
101,11,611,5,5,4,580,1,1,2,6912000000,11,11,11,195,437073,195,0,0,0,0
101,11,611,5,5,4,580,1,1,2,6504000000,36,35,11,97,1479324,660,0,0,0,0
