"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
106,2,23,2,2,1,169,1,1,2,901110000,58443,57960,25,966,184990019,80233,0,0,0,0
106,2,399,2,2,1,169,1,1,2,901110000,170489,169080,25,2818,591604688,256588,0,0,0,0
106,2,538,2,2,1,169,1,1,2,901110000,77622,76980,25,1283,229685238,99618,0,0,0,0
106,35,23,2,2,1,169,1,1,2,2101110000,71742,71077,33,0,1413554033,613080,0,0,0,0
106,35,23,2,2,1,169,1,1,2,901110000,5289564,5240520,25,87342,19241733356,8345434,0,0,0,0
106,35,53,2,2,1,169,1,1,2,901110000,17666,17520,25,292,72542981,31463,0,0,0,0
106,35,69,2,2,1,169,1,1,2,2101110000,16335,16200,33,0,373516920,162000,0,0,0,0
106,35,69,2,2,1,169,1,1,2,901110000,58262,57780,25,963,201523907,87404,0,0,0,0
106,35,72,2,2,1,169,1,1,2,901110000,314177,311580,25,5193,1152557932,499882,0,0,0,0
106,35,87,2,2,1,169,1,1,2,901110000,247203,245160,25,4086,887739047,385026,0,0,0,0
106,35,149,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,129485866,56160,0,0,0,0
106,35,149,2,2,1,169,1,1,2,901110000,2936731,2912460,25,48541,10830662620,4697424,0,0,0,0
106,35,211,2,2,1,169,1,1,2,2101110000,2233,2215,33,0,31672851,13737,0,0,0,0
106,35,211,2,2,1,169,1,1,2,901110000,264809,262620,25,4377,998869554,433225,0,0,0,0
106,35,190,2,2,1,169,1,1,2,901110000,451935,448200,25,7470,1538972714,667476,0,0,0,0
106,35,232,2,2,1,169,1,1,2,901110000,190515,188940,25,3149,686471069,297733,0,0,0,0
106,35,244,2,2,1,169,1,1,2,901110000,18150,18000,25,300,128780334,55854,0,0,0,0
106,35,239,2,2,1,169,1,1,2,2101110000,74531,73915,33,0,1127373208,488959,0,0,0,0
106,35,245,2,2,1,169,1,1,2,901110000,19300,19140,25,319,73919460,32060,0,0,0,0
106,35,249,2,2,1,169,1,1,2,2101110000,54095,53908,33,0,643113132,278928,0,0,0,0
106,35,249,2,2,1,169,1,1,2,901110000,13893341,13778520,25,229642,49316594083,21389361,0,0,0,0
