"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
111,7,850,2,2,3,169,1,1,2,2101110000,7981,7915,33,0,136315420,58999,0,0,0,0
111,2,87,2,2,1,87,1,1,2,901110000,193782,192180,25,3203,585895914,253583,0,0,0,0
111,2,249,2,2,1,169,1,1,2,901110000,649468,644100,25,10735,1896022512,820622,0,0,0,0
111,2,399,2,2,1,169,1,1,2,901110000,267047,264840,25,4414,917496879,397104,0,0,0,0
111,2,218,2,2,1,169,1,1,2,901110000,9862,9780,25,163,46026873,19921,0,0,0,0
111,35,23,2,2,1,169,1,1,2,2101110000,61920,61408,33,0,1199870970,519319,0,0,0,0
111,35,23,2,2,1,169,1,1,2,901110000,7162111,7102920,25,118382,21067821995,9118414,0,0,0,0
111,35,23,2,2,1,169,1,1,2,901120000,63525,63000,33,0,184507203,79857,0,0,0,0
111,35,69,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,119774765,51840,0,0,0,0
111,35,69,2,2,1,169,1,1,2,901110000,154396,153120,25,2552,475229022,205685,0,0,0,0
111,35,72,2,2,1,169,1,1,2,901110000,212355,210600,25,3510,604026172,261430,0,0,0,0
111,35,77,2,2,1,169,1,1,2,901110000,35332,35040,25,584,100724940,43595,0,0,0,0
111,35,87,2,2,1,169,1,1,2,901110000,1636162,1622640,25,27044,4852393643,2100176,0,0,0,0
111,35,149,2,2,1,169,1,1,2,901110000,2233237,2214780,25,36913,6443029783,2788623,0,0,0,0
111,35,211,2,2,1,169,1,1,2,2101110000,395,392,33,0,5526644,2392,0,0,0,0
111,35,211,2,2,1,169,1,1,2,901110000,229356,227460,25,3791,681133487,294803,0,0,0,0
111,35,190,2,2,1,169,1,1,2,901110000,398272,394980,25,6583,1279175542,553643,0,0,0,0
111,35,232,2,2,1,169,1,1,2,901110000,336804,334020,25,5567,969923754,419795,0,0,0,0
111,35,239,2,2,1,169,1,1,2,2101110000,89307,88569,33,0,1314763712,569046,0,0,0,0
111,35,240,2,2,1,169,1,1,2,901110000,17606,17460,25,291,57884205,25053,0,0,0,0
111,35,249,2,2,1,169,1,1,2,2101110000,171448,170031,33,0,1965472930,850681,0,0,0,0
111,35,249,2,2,1,169,1,1,2,901110000,20022778,19857300,25,330955,58307533844,25236222,0,0,0,0
111,35,249,2,2,1,169,1,1,2,901120000,282233,279900,33,0,537907452,232813,0,0,0,0
111,35,676,2,2,1,169,1,1,2,901110000,19421,19260,25,321,56544132,24473,0,0,0,0
111,35,271,2,2,1,169,1,1,2,2101110000,3351,3323,33,0,124608268,53932,0,0,0,0
111,35,271,2,2,1,169,1,1,2,901211000,1513,1500,33,0,17370113,7518,0,0,0,0
111,35,271,2,2,1,169,1,1,2,901212000,5929,5880,33,0,62708466,27141,0,0,0,0
111,35,271,2,2,1,169,1,1,2,901110000,187188,185640,25,3094,542038572,234601,0,0,0,0
111,35,275,2,2,1,169,1,1,2,2101110000,22175,21992,33,0,202711396,87736,0,0,0,0
111,35,275,2,2,1,169,1,1,2,901110000,2041150,2024280,25,33738,6050538692,2618748,0,0,0,0
111,35,301,2,2,1,169,1,1,2,901110000,37026,36720,25,612,113238445,49011,0,0,0,0
111,35,573,2,2,1,169,1,1,2,901110000,1298996,1288260,25,21471,4227185082,1829578,0,0,0,0
111,35,351,2,2,1,169,1,1,2,901110000,88270,87540,25,1459,291657560,126233,0,0,0,0
111,35,375,2,2,1,169,1,1,2,901110000,19421,19260,25,321,55474385,24010,0,0,0,0
111,35,379,2,2,1,169,1,1,2,901110000,17666,17520,25,292,53706875,23245,0,0,0,0
111,35,383,2,2,1,169,1,1,2,2101110000,21664,21485,33,0,520742970,225384,0,0,0,0
111,35,383,2,2,1,169,1,1,2,901110000,264990,262800,25,4380,762096977,329845,0,0,0,0
111,35,386,2,2,1,169,1,1,2,901110000,270193,267960,25,4466,767334813,332112,0,0,0,0
111,35,399,2,2,1,198,1,1,2,2101110000,72228,71631,33,0,1350783939,584636,0,0,0,0
111,35,399,2,2,1,198,1,1,2,901110000,5479122,5433840,25,90564,16481247925,7133288,0,0,0,0
111,35,431,2,2,1,169,1,1,2,2101110000,3607,3577,33,0,117404223,50814,0,0,0,0
111,35,431,2,2,1,169,1,1,2,901110000,38781,38460,25,641,138334770,59873,0,0,0,0
111,35,447,2,2,1,169,1,1,2,901110000,17606,17460,25,291,63681174,27562,0,0,0,0
111,35,474,2,2,1,169,1,1,2,901110000,58201,57720,25,962,178352111,77193,0,0,0,0
111,35,538,2,2,1,169,1,1,2,901110000,342733,339900,25,5665,1000493582,433026,0,0,0,0
111,35,548,2,2,1,169,1,1,2,901110000,17666,17520,25,292,49716693,21518,0,0,0,0
111,35,589,2,2,1,169,1,1,2,2101110000,53193,52754,33,0,404579470,175107,0,0,0,0
111,35,589,2,2,1,169,1,1,2,901110000,70422,69840,25,1164,234947073,101688,0,0,0,0
111,35,603,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,239688158,103740,0,0,0,0
111,35,603,2,2,1,169,1,1,2,901110000,116523,115560,25,1926,337166887,145930,0,0,0,0
111,35,607,2,2,1,169,1,1,2,901110000,19481,19320,25,322,67262403,29112,0,0,0,0
111,35,628,2,2,1,169,1,1,2,901110000,436024,432420,25,7207,1240008455,536691,0,0,0,0
111,35,644,2,2,1,169,1,2,2,2101110000,114950,114000,33,0,2310,1,0,0,0,0
111,35,644,2,2,1,169,1,1,2,901110000,42471,42120,25,702,121357437,52525,0,0,0,0
111,35,670,2,2,1,169,1,1,2,901110000,97284,96480,25,1608,273354016,118311,0,0,0,0
111,35,741,2,2,1,169,1,1,2,901110000,17666,17520,25,292,54873663,23750,0,0,0,0
111,35,744,2,2,1,169,1,1,2,901110000,35332,35040,25,584,116766533,50538,0,0,0,0
111,35,756,2,2,1,169,1,1,2,901110000,38841,38520,25,642,109139671,47237,0,0,0,0
111,35,764,2,2,1,169,1,1,2,901110000,419023,415560,25,6926,1180934358,511123,0,0,0,0
111,35,767,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,242100288,104784,0,0,0,0
111,35,767,2,2,1,169,1,1,2,901110000,250591,248520,25,4142,704191978,304783,0,0,0,0
111,6,23,2,2,1,169,1,1,2,901110000,7063073,7004700,25,116745,19943029747,8631590,0,0,0,0
111,6,47,2,2,1,169,1,1,2,2101110000,17848,17700,33,0,314323270,136043,0,0,0,0
111,6,63,2,2,1,169,1,1,2,901110000,174664,173220,25,2887,467854002,202493,0,0,0,0
111,6,27,2,2,1,169,1,1,2,2101110000,2490,2469,33,0,52376044,22669,0,0,0,0
111,6,27,2,2,1,169,1,1,2,901212000,418,415,33,0,2079423,900,0,0,0,0
111,6,69,2,2,1,169,1,1,2,2101110000,19290,19131,33,0,285400807,123525,0,0,0,0
111,6,87,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,153461417,66420,0,0,0,0
111,6,87,2,2,1,169,1,1,2,901110000,1693758,1679760,25,27996,4206136700,1820468,0,0,0,0
111,6,149,2,2,1,169,1,1,2,2101110000,16381,16246,33,0,172707633,74750,0,0,0,0
111,6,149,2,2,1,169,1,1,2,901110000,1532345,1519680,25,25328,4117920645,1782287,0,0,0,0
111,6,190,2,2,1,169,1,1,2,901110000,17666,17520,25,292,52928247,22908,0,0,0,0
111,6,196,2,2,1,169,1,1,2,2101110000,2048,2031,33,0,28774593,12454,0,0,0,0
111,6,232,2,2,1,169,1,1,2,2101110000,10029,9946,33,0,249826500,108128,0,0,0,0
111,6,232,2,2,1,169,1,1,2,901110000,41443,41100,25,685,121403646,52545,0,0,0,0
111,6,235,2,2,1,169,1,1,2,2101110000,1931,1915,33,0,50516116,21864,0,0,0,0
111,6,245,2,2,1,169,1,1,2,901110000,1940175,1924140,25,32069,5292212401,2290535,0,0,0,0
