"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
110,6,580,1,1,1,169,1,1,2,2711130000,5322505,5322505,66,45585,1987469638,856428,0,0,0,0
110,6,249,1,1,1,169,1,1,2,2710006000,220647588,220647588,66,1501004,54195297454,23353499,0,0,0,0
110,6,580,1,1,1,169,1,1,2,2711120000,2155390,2155390,66,18460,683828256,294671,0,0,0,0
110,6,249,1,1,1,169,1,1,2,2710001100,23845661,23845661,66,204228,11948307449,5148690,0,0,0,0
110,6,249,1,1,1,169,1,1,2,2710009900,143941518,143941518,66,1142393,51007682783,21979912,0,0,0,0
110,6,580,1,1,1,169,1,1,2,2709000000,217925883,217925883,66,1482489,70957684258,30576642,0,0,0,0
110,6,249,1,1,1,169,1,1,2,2709000000,993986658,993986658,66,6761814,335000000000,144568215,0,0,0,0
110,2,399,2,2,1,169,1,1,2,901110000,281144,278820,25,4647,1059026307,456349,0,0,0,0
110,35,23,2,2,1,169,1,1,2,2101110000,62454,61938,33,0,971458900,418615,0,0,0,0
110,35,23,2,2,1,169,1,1,2,901110000,5692930,5645880,25,94098,17473916658,7529751,0,0,0,0
110,35,69,2,2,1,169,1,1,2,2101110000,10890,10800,33,0,240604992,103680,0,0,0,0
110,35,69,2,2,1,169,1,1,2,901110000,116826,115860,25,1931,355994672,153403,0,0,0,0
110,35,72,2,2,1,169,1,1,2,901110000,105874,105000,25,1750,335921049,144753,0,0,0,0
110,35,72,2,2,1,169,1,1,2,901120000,42210,42000,33,0,119244280,51384,0,0,0,0
110,35,87,2,2,1,169,1,1,2,901110000,2786630,2763600,25,46060,3210185313,1383313,0,0,0,0
110,35,149,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,127821402,55080,0,0,0,0
