"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
205,2,249,2,2,1,169,1,1,2,901211000,726,720,33,0,7408940,3207,0,0,0,0
205,2,249,2,2,1,169,1,1,2,901110000,748204,742020,25,12367,2349299228,1016907,0,0,0,0
205,2,399,2,2,1,169,1,1,2,901110000,228025,226140,25,3769,839030653,363179,0,0,0,0
205,35,23,2,2,1,169,1,1,2,2101110000,67062,66508,33,0,1029983540,445834,0,0,0,0
205,35,23,2,2,1,169,1,1,2,901110000,5633276,5586720,25,93112,18320697591,7930214,0,0,0,0
205,35,69,2,2,1,169,1,1,2,901110000,77561,76920,25,1282,263503664,114059,0,0,0,0
205,35,87,2,2,1,169,1,1,2,2101110000,27132,26908,33,0,273481591,118378,0,0,0,0
205,35,87,2,2,1,169,1,1,2,901110000,838409,831480,25,13858,2613262630,1131165,0,0,0,0
205,35,149,2,2,1,169,1,1,2,901110000,3277467,3250380,25,54173,10361077554,4484849,0,0,0,0
205,35,149,2,2,1,169,1,1,2,901120000,7018,6960,33,0,23908674,10349,0,0,0,0
205,35,211,2,2,1,169,1,1,2,2101110000,3002,2977,33,0,55237838,23910,0,0,0,0
205,35,211,2,2,1,169,1,1,2,901110000,17666,17520,25,292,55445760,24000,0,0,0,0
205,35,190,2,2,1,169,1,1,2,901110000,377157,374040,25,6234,1160962597,502529,0,0,0,0
205,35,232,2,2,1,169,1,1,2,901110000,190353,188760,25,3146,632065492,273593,0,0,0,0
205,35,244,2,2,1,169,1,1,2,901110000,18150,18000,25,300,71506548,30952,0,0,0,0
205,35,239,2,2,1,169,1,1,2,2101110000,85025,84323,33,0,944483868,408825,0,0,0,0
205,35,249,2,2,1,169,1,1,2,2101110000,78347,77700,33,0,862826125,373479,0,0,0,0
205,35,249,2,2,1,169,1,1,2,901110000,15283630,15157320,25,252622,49601647523,21470344,0,0,0,0
205,35,249,2,2,1,169,1,1,2,901120000,91597,90840,33,0,235903227,102112,0,0,0,0
205,35,240,2,2,1,169,1,1,2,901110000,19421,19260,25,321,63538531,27503,0,0,0,0
205,35,247,2,2,1,169,1,1,2,901110000,231655,229740,25,3829,624259191,270214,0,0,0,0
205,35,245,2,2,1,169,1,1,2,901110000,107569,106680,25,1778,343659751,148755,0,0,0,0
205,35,245,2,2,1,169,1,1,2,901120000,9499,9420,33,0,32853923,14221,0,0,0,0
205,35,676,2,2,1,169,1,1,2,2101110000,22990,22800,33,0,500397984,216600,0,0,0,0
205,35,271,2,2,1,169,1,1,2,901110000,549280,544740,25,9079,1655677391,716669,0,0,0,0
205,35,275,2,2,1,169,1,1,2,2101110000,28575,28339,33,0,258707606,111983,0,0,0,0
205,35,275,2,2,1,169,1,1,2,901110000,557870,553260,25,9221,1699719806,735733,0,0,0,0
205,35,301,2,2,1,169,1,1,2,901110000,58806,58320,25,972,190913613,82638,0,0,0,0
205,35,573,2,2,1,169,1,1,2,901110000,739855,733740,25,12229,2394968052,1036675,0,0,0,0
205,35,351,2,2,1,169,1,1,2,901110000,35272,34980,25,583,123214340,53334,0,0,0,0
205,35,383,2,2,1,169,1,1,2,901110000,172970,171540,25,2859,531921209,230245,0,0,0,0
205,35,386,2,2,1,169,1,1,2,901110000,303589,301080,25,5018,1027183529,444622,0,0,0,0
205,35,399,2,2,1,169,1,1,2,2101110000,105083,104215,33,0,1994157584,863182,0,0,0,0
205,35,399,2,2,1,169,1,1,2,901110000,5335738,5291640,25,88194,17635799220,7633752,0,0,0,0
205,35,403,2,2,1,169,1,1,2,901110000,38841,38520,25,642,126975411,54962,0,0,0,0
205,35,538,2,2,1,169,1,1,2,901110000,335715,332940,25,5549,1074032886,464901,0,0,0,0
205,35,548,2,2,1,169,1,1,2,901110000,37813,37500,25,625,140386354,60767,0,0,0,0
205,35,589,2,2,1,169,1,1,2,2101110000,53053,52615,33,0,295001476,127693,0,0,0,0
205,35,589,2,2,1,169,1,1,2,901110000,52817,52380,25,873,156911501,67920,0,0,0,0
205,35,603,2,2,1,169,1,1,2,901110000,250349,248280,25,4138,701095464,303473,0,0,0,0
205,35,628,2,2,1,169,1,1,2,2101110000,6585,6531,33,0,72659358,31451,0,0,0,0
205,35,628,2,2,1,169,1,1,2,901110000,389197,385980,25,6433,1354733977,586404,0,0,0,0
205,35,644,2,2,1,169,1,2,2,2101110000,172425,171000,33,0,2310,1,0,0,0,0
205,35,644,2,2,1,169,1,1,2,901110000,38781,38460,25,641,120467465,52145,0,0,0,0
205,35,670,2,2,1,169,1,1,2,901110000,57173,56700,25,945,192609329,83372,0,0,0,0
205,35,756,2,2,1,169,1,1,2,901110000,10103,10020,25,167,36638096,15859,0,0,0,0
205,35,756,2,2,1,169,1,1,2,901120000,7623,7560,33,0,27706708,11993,0,0,0,0
205,35,764,2,2,1,169,1,1,2,901110000,518425,514140,25,8569,1638399106,709190,0,0,0,0
205,35,767,2,2,1,169,1,1,2,2101110000,28575,28339,33,0,484152376,209568,0,0,0,0
205,35,218,2,2,1,169,1,1,2,2101110000,20803,20631,33,0,247107891,106962,0,0,0,0
205,35,218,2,2,1,169,1,1,2,901110000,64856,64320,25,1072,247087099,106953,0,0,0,0
205,6,23,2,2,1,169,1,1,2,2101110000,27690,27461,33,0,230201555,99644,0,0,0,0
205,6,23,2,2,1,169,1,1,2,901110000,2148476,2130720,25,35512,6772179780,2931375,0,0,0,0
205,6,47,2,2,1,169,1,1,2,2101110000,7702,7638,33,0,133238472,57673,0,0,0,0
205,6,27,2,2,1,169,1,1,2,2101110000,7586,7523,33,0,131535825,56936,0,0,0,0
205,6,27,2,2,1,169,1,1,2,901212000,1089,1080,33,0,8004982,3465,0,0,0,0
205,6,69,2,2,1,169,1,1,2,901110000,17666,17520,25,292,107093485,46356,0,0,0,0
205,6,87,2,2,1,169,1,1,2,2101110000,23595,23400,33,0,538616284,233143,0,0,0,0
205,6,87,2,2,1,169,1,1,2,901110000,296027,293580,25,4893,851020799,368369,0,0,0,0
