"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","MODALID4","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
209,2,23,2,2,1,169,1,1,2,901110000,275275,273000,25,4550,981132638,356616,0,0,0,0
209,2,149,2,2,1,169,1,1,2,901110000,17606,17460,25,291,65638845,23858,0,0,0,0
209,2,232,2,2,1,169,1,1,2,901110000,42350,42000,25,700,134766250,48984,0,0,0,0
209,2,249,2,2,1,169,1,1,2,901110000,377460,374340,25,6239,1362447613,495214,0,0,0,0
209,2,399,2,2,1,169,1,1,2,901110000,304739,302220,25,5037,1236091873,449287,0,0,0,0
209,35,23,2,2,1,169,1,1,2,2101110000,55660,55200,33,0,1057264674,384288,0,0,0,0
209,35,23,2,2,1,169,1,1,2,901110000,4647066,4608660,25,76811,16808017907,6109274,0,0,0,0
209,35,69,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,145595092,52920,0,0,0,0
209,35,69,2,2,1,169,1,1,2,901110000,115374,114420,25,1907,389786013,141677,0,0,0,0
209,35,72,2,2,1,169,1,1,2,901110000,338014,335220,25,5587,1253474144,455605,0,0,0,0
209,35,87,2,2,1,169,1,1,2,901110000,121545,120540,25,2009,323883049,117723,0,0,0,0
209,35,149,2,2,1,169,1,1,2,901110000,973506,965460,25,16091,3603786655,1309882,0,0,0,0
209,35,149,2,2,1,169,1,1,2,901120000,6958,6900,33,0,24659274,8963,0,0,0,0
209,35,211,2,2,1,169,1,1,2,901110000,17666,17520,25,292,59123933,21490,0,0,0,0
209,35,190,2,2,1,169,1,1,2,901110000,663020,657540,25,10959,2324533486,844907,0,0,0,0
209,35,232,2,2,1,169,1,1,2,901110000,360157,357180,25,5953,1258976604,457605,0,0,0,0
209,35,239,2,2,1,169,1,1,2,2101110000,25806,25592,33,0,433324227,157502,0,0,0,0
209,35,249,2,2,1,169,1,1,2,2101110000,179452,177969,33,0,2525898761,918098,0,0,0,0
209,35,249,2,2,1,169,1,1,2,901212000,4932,4891,33,0,37133351,13497,0,0,0,0
209,35,249,2,2,1,169,1,1,2,901110000,11166969,11074680,25,184578,41700926849,15157194,0,0,0,0
209,35,249,2,2,1,169,1,1,2,901120000,175873,174420,33,0,592469127,215347,0,0,0,0
209,35,245,2,2,1,169,1,1,2,901110000,28798,28560,25,476,108093075,39289,0,0,0,0
209,35,245,2,2,1,169,1,1,2,901120000,10527,10440,33,0,36927009,13422,0,0,0,0
209,35,271,2,2,1,169,1,1,2,901110000,925106,917460,25,15291,3192499780,1160390,0,0,0,0
209,35,275,2,2,1,169,1,1,2,2101110000,11100,11008,33,0,117216154,42605,0,0,0,0
209,35,275,2,2,1,169,1,1,2,901110000,315991,313380,25,5223,1057762647,384469,0,0,0,0
209,35,301,2,2,1,169,1,1,2,901110000,94743,93960,25,1566,322358868,117169,0,0,0,0
209,35,573,2,2,1,169,1,1,2,901110000,1271408,1260900,25,21015,4524447257,1644518,0,0,0,0
209,35,351,2,2,1,169,1,1,2,901110000,35272,34980,25,583,123420178,44860,0,0,0,0
209,35,383,2,2,1,169,1,1,2,2101110000,22990,22800,33,0,589643614,214320,0,0,0,0
209,35,383,2,2,1,169,1,1,2,901110000,169279,167880,25,2798,606434370,220423,0,0,0,0
209,35,386,2,2,1,169,1,1,2,901110000,77380,76740,25,1279,307122556,111631,0,0,0,0
209,35,399,2,2,1,169,1,1,2,2101110000,23874,23677,33,0,294211034,106938,0,0,0,0
209,35,399,2,2,1,169,1,1,2,901110000,3909026,3876720,25,64612,14978562757,5444315,0,0,0,0
209,35,431,2,2,1,169,1,1,2,901110000,19421,19260,25,321,64084400,23293,0,0,0,0
209,35,538,2,2,1,169,1,1,2,901110000,610445,605400,25,10090,2143120131,778968,0,0,0,0
209,35,548,2,2,1,169,1,1,2,901110000,57112,56640,25,944,236867147,86095,0,0,0,0
209,35,589,2,2,1,169,1,1,2,2101110000,96148,95354,33,0,744683678,270673,0,0,0,0
209,35,603,2,2,1,169,1,1,2,2101110000,11495,11400,33,0,251853097,91542,0,0,0,0
209,35,607,2,2,1,169,1,1,2,901110000,19360,19200,25,320,70376463,25580,0,0,0,0
209,35,628,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,141138099,51300,0,0,0,0
209,35,628,2,2,1,169,1,1,2,901110000,243029,241020,25,4017,899754006,327037,0,0,0,0
209,35,644,2,2,1,169,1,2,2,2101110000,114950,114000,33,0,2751,1,0,0,0,0
209,35,670,2,2,1,169,1,1,2,901110000,40233,39900,25,665,138926110,50496,0,0,0,0
209,35,744,2,2,1,169,1,1,2,901110000,58988,58500,25,975,222888147,81014,0,0,0,0
209,35,756,2,2,1,169,1,1,2,901110000,19360,19200,25,320,70332444,25564,0,0,0,0
209,35,764,2,2,1,169,1,1,2,901110000,1181565,1171800,25,19530,4131684414,1501759,0,0,0,0
209,35,767,2,2,1,169,1,1,2,901110000,20026,19860,25,331,71179823,25872,0,0,0,0
209,35,850,2,2,1,169,1,1,2,901212000,13117,13008,33,0,102433795,37232,0,0,0,0
209,6,23,2,2,1,169,1,1,2,2101110000,27691,27462,33,0,266591436,96899,0,0,0,0
209,6,23,2,2,1,169,1,1,2,901110000,613711,608640,25,10144,2288599671,831846,0,0,0,0
209,6,47,2,2,1,169,1,1,2,2101110000,5189,5146,33,0,104348651,37928,0,0,0,0
209,6,63,2,2,1,169,1,1,2,901110000,60319,59820,25,997,209071470,75992,0,0,0,0
209,6,27,2,2,1,169,1,1,2,2101110000,5049,5008,33,0,100023718,36356,0,0,0,0
209,6,69,2,2,1,169,1,1,2,2101110000,6376,6323,33,0,104582506,38013,0,0,0,0
209,6,87,2,2,1,169,1,1,2,2101110000,10518,10431,33,0,296439530,107748,0,0,0,0
209,6,87,2,2,1,169,1,1,2,901110000,3277527,3250440,25,54174,281915787,102469,0,0,0,0
209,6,149,2,2,1,169,1,1,2,901211000,3458,3429,33,0,23049805,8378,0,0,0,0
209,6,149,2,2,1,169,1,1,2,901212000,9202,9126,33,0,63523149,23089,0,0,0,0
209,6,149,2,2,1,169,1,1,2,901110000,17545,17400,25,290,60763666,22086,0,0,0,0
209,6,232,2,2,1,169,1,1,2,2101110000,4630,4592,33,0,128785076,46810,0,0,0,0
209,6,232,2,2,1,169,1,1,2,901110000,211509,209760,25,3496,959323637,348689,0,0,0,0
209,6,249,2,2,1,169,1,1,2,2101110000,232041,230123,33,0,3743155713,1360539,0,0,0,0
