"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
304,6,580,1,1,1,169,1,1,2,2711130000,2286976,2286976,67,3990,1490527566,509300,0,0,0,0
304,6,647,1,1,1,169,1,1,2,2709000000,47689740,47689740,67,51582,28391544494,9701138,0,0,0,0
304,6,611,1,1,1,169,1,1,2,2709000000,157568418,157568418,67,170432,75492833096,25795229,0,0,0,0
304,6,249,1,1,1,169,1,1,2,2710192200,248503620,248503620,67,241035,82980218686,28353602,0,0,0,0
304,6,249,1,1,1,169,1,1,2,2710119900,97364124,97364124,67,130659,67794019699,23164613,0,0,0,0
304,6,249,1,1,1,169,1,1,2,2709000000,893439687,893439687,67,966372,445000000000,152136353,0,0,0,0
304,2,23,2,2,1,169,1,1,2,901110000,502211,498060,33,0,1770768991,605056,0,0,0,0
304,2,399,2,2,1,169,1,1,2,2101110000,3304,3277,33,0,51888973,17730,0,0,0,0
304,2,399,2,2,1,169,1,1,2,901212000,5440,5395,33,0,44250494,15120,0,0,0,0
304,2,249,2,2,1,169,1,1,2,2101110000,23200,23008,33,0,235592910,80500,0,0,0,0
304,2,249,2,2,1,169,1,1,2,901110000,255975,253860,33,0,1091049789,372802,0,0,0,0
304,2,245,2,2,1,169,1,1,2,901110000,70604,70020,33,0,338958202,115819,0,0,0,0
304,2,399,2,2,1,169,1,1,2,901110000,234619,232680,33,0,1172266421,400553,0,0,0,0
304,2,741,2,2,1,169,1,1,2,2101110000,13613,13500,33,0,157247293,53730,0,0,0,0
304,35,23,2,2,1,169,1,1,2,2101110000,76440,75808,33,0,1440391639,492169,0,0,0,0
304,35,23,2,2,1,169,1,1,2,901110000,5643864,5597220,33,0,21515480070,7351648,0,0,0,0
304,35,69,2,2,1,169,1,1,2,2101110000,6748,6692,33,0,188240198,64320,0,0,0,0
304,35,69,2,2,1,169,1,1,2,901110000,154880,153600,33,0,594715524,203209,0,0,0,0
304,35,87,2,2,1,169,1,1,2,901110000,1244364,1234080,33,0,4946921392,1690319,0,0,0,0
304,35,111,2,2,1,169,1,1,2,901110000,19421,19260,33,0,79153365,27046,0,0,0,0
304,35,149,2,2,1,169,1,1,2,901110000,1505966,1493520,33,0,6180965834,2111981,0,0,0,0
304,35,149,2,2,1,169,1,1,2,901120000,7079,7020,33,0,25613778,8752,0,0,0,0
304,35,211,2,2,1,169,1,1,2,901110000,88209,87480,33,0,342414540,117000,0,0,0,0
304,35,215,2,2,1,169,1,1,2,901110000,17666,17520,33,0,78076368,26678,0,0,0,0
304,35,190,2,2,1,169,1,1,2,901110000,926013,918360,33,0,3422717209,1169512,0,0,0,0
304,35,232,2,2,1,169,1,1,2,901110000,380666,377520,33,0,1513756149,517237,0,0,0,0
304,35,239,2,2,1,169,1,1,2,2101110000,49866,49454,33,0,810536189,276953,0,0,0,0
304,35,249,2,2,1,169,1,1,2,2101110000,103060,102208,33,0,1368935285,467753,0,0,0,0
304,35,249,2,2,1,169,1,1,2,901110000,14878584,14755620,33,0,58861156004,20112333,0,0,0,0
304,35,249,2,2,1,169,1,1,2,901120000,17666,17520,33,0,63978840,21861,0,0,0,0
304,35,245,2,2,1,169,1,1,2,901110000,218103,216300,33,0,863838719,295166,0,0,0,0
304,35,271,2,2,1,169,1,1,2,901110000,142841,141660,33,0,534430078,182610,0,0,0,0
304,35,275,2,2,1,169,1,1,2,2101110000,25387,25177,33,0,261092550,89213,0,0,0,0
304,35,275,2,2,1,169,1,1,2,901110000,318351,315720,33,0,1204868968,411693,0,0,0,0
304,35,573,2,2,1,169,1,1,2,901110000,1094687,1085640,33,0,4339832119,1482882,0,0,0,0
304,35,351,2,2,1,169,1,1,2,901110000,17606,17460,33,0,72144110,24651,0,0,0,0
304,35,383,2,2,1,169,1,1,2,901110000,331601,328860,33,0,1272561688,434823,0,0,0,0
304,35,386,2,2,1,169,1,1,2,901110000,176781,175320,33,0,737086807,251856,0,0,0,0
304,35,399,2,2,1,169,1,1,2,2101110000,47888,47492,33,0,1161516946,396880,0,0,0,0
304,35,399,2,2,1,169,1,1,2,901110000,4886948,4846560,33,0,19202074758,6561178,0,0,0,0
304,35,474,2,2,1,169,1,1,2,901110000,38841,38520,33,0,163879014,55996,0,0,0,0
304,35,493,2,2,1,169,1,1,2,901110000,17545,17400,33,0,81240045,27759,0,0,0,0
304,35,538,2,2,1,169,1,1,2,901110000,689640,683940,33,0,2492944669,851817,0,0,0,0
304,35,548,2,2,1,169,1,1,2,901110000,97042,96240,33,0,336728117,115057,0,0,0,0
304,35,589,2,2,1,169,1,1,2,2101110000,47237,46846,33,0,295348637,100918,0,0,0,0
304,35,603,2,2,1,169,1,1,2,2101110000,13659,13546,33,0,318436742,108807,0,0,0,0
304,35,603,2,2,1,169,1,1,2,901110000,161112,159780,33,0,621227774,212268,0,0,0,0
304,35,607,2,2,1,169,1,1,2,901110000,58988,58500,33,0,213256946,72868,0,0,0,0
304,35,628,2,2,1,169,1,1,2,2101110000,6655,6600,33,0,88852183,30360,0,0,0,0
304,35,628,2,2,1,169,1,1,2,901110000,335049,332280,33,0,1387285192,474023,0,0,0,0
304,35,644,2,2,1,169,1,1,2,2101110000,163908,162554,33,0,3821223348,1305678,0,0,0,0
304,35,670,2,2,1,169,1,1,2,901110000,97768,96960,33,0,373559630,127642,0,0,0,0
304,35,744,2,2,1,169,1,1,2,901110000,60440,59940,33,0,227764202,77825,0,0,0,0
304,35,756,2,2,1,169,1,1,2,901110000,36966,36660,33,0,137337497,46927,0,0,0,0
304,35,764,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,290086574,99120,0,0,0,0
