"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
308,6,589,1,1,1,169,1,1,2,2711130000,1450675,1450675,67,2531,1103611319,384897,0,0,0,0
308,6,647,1,1,1,169,1,1,2,2709000000,44529093,44529093,67,48164,26523490530,9250369,0,0,0,0
308,6,249,1,1,1,169,1,1,2,2710192200,276462347,276462347,67,268154,123000000000,42738088,0,0,0,0
308,6,647,1,1,1,169,1,1,2,2710111200,29196539,29196539,67,39759,29327255720,10228214,0,0,0,0
308,6,647,1,1,1,169,1,1,2,2710111900,9477993,9477993,67,12906,9697825654,3382227,0,0,0,0
308,6,589,1,1,1,169,1,1,2,2711190000,1722210,1722210,67,2345,908624130,316893,0,0,0,0
308,6,647,1,1,1,169,1,1,2,2710191900,8826038,8826038,67,10834,6690715125,2333463,0,0,0,0
308,6,647,1,1,1,169,1,1,2,2710119900,1825926,1825926,67,2450,1516260227,528813,0,0,0,0
308,6,249,1,1,1,169,1,1,2,2710119900,49199888,49199888,67,66025,37026003920,12913240,0,0,0,0
308,6,249,1,1,1,169,1,1,2,2709000000,811292726,811292726,67,877523,464000000000,161941377,0,0,0,0
308,6,611,1,1,1,169,1,1,2,2709000000,168836997,168836997,67,182620,101000000000,35264193,0,0,0,0
308,6,815,1,1,1,169,1,1,2,2709000000,31899000,31899000,67,34503,17761376294,6194482,0,0,0,0
308,6,589,1,1,1,169,1,1,2,2709000000,113894277,113894277,67,123191,63780397314,22244139,0,0,0,0
308,2,47,2,2,1,169,1,1,2,2101110000,4142,4108,33,0,111643671,38937,0,0,0,0
308,2,47,2,2,1,169,1,1,2,901212000,356,353,33,0,3974064,1386,0,0,0,0
308,2,232,2,2,1,169,1,1,2,901110000,42350,42000,33,0,159289429,55554,0,0,0,0
308,2,249,2,2,1,169,1,1,2,901110000,20026,19860,33,0,91787687,32012,0,0,0,0
308,2,399,2,2,1,169,1,1,2,901110000,153973,152700,33,0,716208900,249786,0,0,0,0
308,2,573,2,2,1,169,1,1,2,901110000,42350,42000,33,0,160614117,56016,0,0,0,0
