"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
312,2,47,2,2,1,169,1,1,2,2101110000,2513,2492,33,0,68874652,24535,0,0,0,0
312,2,47,2,2,1,169,1,1,2,901212000,356,353,33,0,3890779,1386,0,0,0,0
312,2,69,2,2,1,169,1,1,2,2101110000,19849,19685,33,0,284184085,101234,0,0,0,0
312,2,249,2,2,1,169,1,1,2,901212000,17591,17445,33,0,129355776,46080,0,0,0,0
312,2,249,2,2,1,169,1,1,2,901110000,20086,19920,33,0,83028554,29577,0,0,0,0
312,2,399,2,2,1,169,1,1,2,901110000,433785,430200,33,0,1880989625,670059,0,0,0,0
312,35,23,2,2,1,169,1,1,2,2101110000,62781,62262,33,0,1050176327,374101,0,0,0,0
312,35,23,2,2,1,169,1,1,2,901110000,6261810,6210060,33,0,23654693946,8426437,0,0,0,0
312,35,63,2,2,1,169,1,1,2,901110000,19481,19320,33,0,70758283,25206,0,0,0,0
312,35,69,2,2,1,169,1,1,2,901110000,213081,211320,33,0,911304143,324631,0,0,0,0
312,35,72,2,2,1,169,1,1,2,901110000,63586,63060,33,0,226265934,80602,0,0,0,0
312,35,87,2,2,1,169,1,1,2,901110000,1025415,1016940,33,0,3868565826,1378087,0,0,0,0
312,35,149,2,2,1,169,1,1,2,901110000,2404210,2384340,33,0,9256205825,3297309,0,0,0,0
312,35,149,2,2,1,169,1,1,2,901120000,7018,6960,33,0,25786939,9186,0,0,0,0
312,35,211,2,2,1,169,1,1,2,2101110000,3746,3715,33,0,83966159,29911,0,0,0,0
312,35,211,2,2,1,169,1,1,2,901110000,31763,31500,33,0,126745080,45150,0,0,0,0
312,35,211,2,2,1,169,1,1,2,901120000,3509,3480,33,0,20001300,7125,0,0,0,0
312,35,215,2,2,1,169,1,1,2,901110000,17666,17520,33,0,68450765,24384,0,0,0,0
312,35,190,2,2,1,169,1,1,2,901110000,955537,947640,33,0,3787232821,1349114,0,0,0,0
312,35,232,2,2,1,169,1,1,2,901110000,359915,356940,33,0,1387615803,494306,0,0,0,0
312,35,239,2,2,1,169,1,1,2,2101110000,35765,35469,33,0,516002661,183814,0,0,0,0
312,35,249,2,2,1,169,1,1,2,2101110000,57149,56677,33,0,616427434,219588,0,0,0,0
312,35,249,2,2,1,169,1,1,2,901211000,0,0,33,0,527754,188,0,0,0,0
312,35,249,2,2,1,169,1,1,2,901212000,9202,9126,33,0,99478746,35437,0,0,0,0
312,35,249,2,2,1,169,1,1,2,901110000,21326190,21149940,33,0,86063569909,30658154,0,0,0,0
312,35,249,2,2,1,169,1,1,2,901120000,75867,75240,33,0,330578679,117761,0,0,0,0
312,35,245,2,2,1,169,1,1,2,901110000,928857,921180,33,0,3373549793,1201749,0,0,0,0
312,35,676,2,2,1,169,1,1,2,2101110000,109272,108369,33,0,2443532854,870452,0,0,0,0
312,35,271,2,2,1,169,1,1,2,901110000,334928,332160,33,0,1455864450,518618,0,0,0,0
312,35,275,2,2,1,169,1,1,2,2101110000,16312,16177,33,0,171435704,61070,0,0,0,0
312,35,275,2,2,1,169,1,1,2,901110000,411581,408180,33,0,1489051168,530440,0,0,0,0
312,35,301,2,2,1,169,1,1,2,901110000,40172,39840,33,0,149424449,53229,0,0,0,0
312,35,573,2,2,1,169,1,1,2,901110000,1246421,1236120,33,0,4685755782,1669192,0,0,0,0
312,35,351,2,2,1,169,1,1,2,901110000,35332,35040,33,0,134136438,47783,0,0,0,0
312,35,375,2,2,1,169,1,1,2,901110000,58141,57660,33,0,236703104,84320,0,0,0,0
312,35,383,2,2,1,169,1,1,2,2101110000,13659,13546,33,0,346141796,123305,0,0,0,0
312,35,383,2,2,1,169,1,1,2,901110000,135581,134460,33,0,528514351,188271,0,0,0,0
312,35,386,2,2,1,169,1,1,2,901110000,119488,118500,33,0,496773341,176964,0,0,0,0
312,35,399,2,2,1,169,1,1,2,2101110000,38302,37985,33,0,870192699,309986,0,0,0,0
312,35,399,2,2,1,169,1,1,2,901110000,7500668,7438680,33,0,31228702014,11124502,0,0,0,0
312,35,538,2,2,1,169,1,1,2,901110000,622243,617100,33,0,2469768946,879798,0,0,0,0
312,35,548,2,2,1,169,1,1,2,901110000,58201,57720,33,0,207878774,74052,0,0,0,0
312,35,589,2,2,1,169,1,1,2,2101110000,27853,27623,33,0,614919967,219051,0,0,0,0
312,35,603,2,2,1,169,1,1,2,901110000,137517,136380,33,0,504773861,179814,0,0,0,0
312,35,607,2,2,1,169,1,1,2,901110000,40293,39960,33,0,137120491,48846,0,0,0,0
312,35,628,2,2,1,169,1,1,2,901110000,542746,538260,33,0,2088958230,744143,0,0,0,0
312,35,644,2,2,1,169,1,1,2,901110000,21175,21000,33,0,87011971,30996,0,0,0,0
312,35,670,2,2,1,169,1,1,2,901110000,98615,97800,33,0,366752258,130647,0,0,0,0
312,35,744,2,2,1,169,1,1,2,901110000,20147,19980,33,0,74941011,26696,0,0,0,0
312,35,756,2,2,1,169,1,1,2,901110000,38720,38400,33,0,159850390,56943,0,0,0,0
312,35,764,2,2,1,169,1,1,2,901110000,757884,751620,33,0,2799314575,997191,0,0,0,0
312,35,767,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,278249664,99120,0,0,0,0
312,35,218,2,2,1,169,1,1,2,2101110000,14078,13962,33,0,231007295,82291,0,0,0,0
