"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
301,6,815,1,1,1,169,1,1,2,2709000000,127202628,127202628,67,137586,73280604852,25156404,0,0,0,0
301,6,77,1,1,1,169,1,1,2,2709000000,73512201,73512201,67,79513,44896781454,15412558,0,0,0,0
301,6,196,1,1,1,169,1,1,2,2710192100,10191216,10191216,67,11023,7869204417,2701409,0,0,0,0
301,6,647,1,1,1,169,1,1,2,2710192200,69885424,69885424,67,67785,37601204997,12908069,0,0,0,0
301,6,580,1,1,1,169,1,1,2,2710192200,46874640,46874640,67,45466,22768549818,7816186,0,0,0,0
301,6,249,1,1,1,169,1,1,2,2710192200,204649808,204649808,67,198500,99019301904,33992208,0,0,0,0
301,6,647,1,1,1,169,1,1,2,2710111900,13914639,13914639,67,18949,12366558900,4245300,0,0,0,0
301,6,647,1,1,1,169,1,1,2,2711190000,1382205,1382205,67,1882,762940917,261909,0,0,0,0
301,6,589,1,1,1,169,1,1,2,2711190000,2523767,2523767,67,3437,1907219751,654727,0,0,0,0
301,6,196,1,1,1,169,1,1,2,2710191900,45067843,45067843,67,55322,37301171823,12805071,0,0,0,0
301,6,647,1,1,1,169,1,1,2,2710119900,1925688,1925688,67,2584,1746224067,599459,0,0,0,0
301,6,249,1,1,1,169,1,1,2,2710119900,57702393,57702393,67,77435,59975378310,20588870,0,0,0,0
301,6,249,1,1,1,169,1,1,2,2709000000,550433709,550433709,67,595368,350000000000,120220955,0,0,0,0
301,6,611,1,1,1,169,1,1,2,2709000000,158334582,158334582,67,171260,103000000000,35352604,0,0,0,0
301,6,105,1,1,1,169,1,1,2,2709000000,18963000,18963000,67,20511,11416856814,3919278,0,0,0,0
301,2,249,2,2,1,169,1,1,2,901110000,268802,266580,33,0,1209390210,415170,0,0,0,0
301,2,573,2,2,1,169,1,1,2,901110000,21175,21000,33,0,96426126,33102,0,0,0,0
301,2,386,2,2,1,169,1,1,2,901110000,198501,196860,33,0,860106945,295265,0,0,0,0
301,2,399,2,2,1,169,1,1,2,901110000,40414,40080,33,0,181019646,62142,0,0,0,0
301,2,628,2,2,1,169,1,1,2,901110000,57959,57480,33,0,284238888,97576,0,0,0,0
301,35,23,2,2,1,169,1,1,2,2101110000,57475,57000,33,0,1416993894,486438,0,0,0,0
301,35,23,2,2,1,169,1,1,2,901110000,5280198,5236560,33,0,21553252044,7398988,0,0,0,0
301,35,69,2,2,1,169,1,1,2,901110000,96921,96120,33,0,474685002,162954,0,0,0,0
301,35,87,2,2,1,169,1,1,2,901110000,1659152,1645440,33,0,6530034231,2241687,0,0,0,0
301,35,149,2,2,1,169,1,1,2,901110000,1784629,1769880,33,0,7490115336,2571272,0,0,0,0
301,35,149,2,2,1,169,1,1,2,901120000,17606,17460,33,0,91759500,31500,0,0,0,0
301,35,211,2,2,1,169,1,1,2,901110000,17666,17520,33,0,62629500,21500,0,0,0,0
301,35,215,2,2,1,169,1,1,2,901110000,17666,17520,33,0,78409221,26917,0,0,0,0
301,35,190,2,2,1,169,1,1,2,901110000,750261,744060,33,0,3117472209,1070193,0,0,0,0
301,35,232,2,2,1,169,1,1,2,901110000,421322,417840,33,0,1763594286,605422,0,0,0,0
301,35,239,2,2,1,169,1,1,2,2101110000,16591,16454,33,0,273909390,94030,0,0,0,0
301,35,249,2,2,1,169,1,1,2,2101110000,71436,70846,33,0,899837352,308904,0,0,0,0
301,35,249,2,2,1,169,1,1,2,901110000,14649410,14528340,33,0,60846155574,20887798,0,0,0,0
301,35,249,2,2,1,169,1,1,2,901120000,17666,17520,33,0,66396009,22793,0,0,0,0
301,35,247,2,2,1,169,1,1,2,901110000,39446,39120,33,0,168450051,57827,0,0,0,0
301,35,245,2,2,1,169,1,1,2,901110000,58141,57660,33,0,251033601,86177,0,0,0,0
301,35,271,2,2,1,169,1,1,2,901110000,165770,164400,33,0,650111688,223176,0,0,0,0
301,35,275,2,2,1,169,1,1,2,901110000,401176,397860,33,0,1533627501,526477,0,0,0,0
301,35,301,2,2,1,169,1,1,2,901110000,40172,39840,33,0,162222057,55689,0,0,0,0
301,35,573,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,288736560,99120,0,0,0,0
301,35,573,2,2,1,169,1,1,2,901110000,1386539,1375080,33,0,5865628452,2013604,0,0,0,0
301,35,351,2,2,1,169,1,1,2,901110000,17666,17520,33,0,77858664,26728,0,0,0,0
301,35,383,2,2,1,169,1,1,2,901110000,113619,112680,33,0,431234694,148038,0,0,0,0
301,35,386,2,2,1,169,1,1,2,901110000,252588,250500,33,0,1132824918,388886,0,0,0,0
301,35,399,2,2,1,169,1,1,2,2101110000,41140,40800,33,0,1061089380,364260,0,0,0,0
301,35,399,2,2,1,169,1,1,2,901110000,3973398,3940560,33,0,17716126098,6081746,0,0,0,0
301,35,403,2,2,1,169,1,1,2,901110000,95772,94980,33,0,446647377,153329,0,0,0,0
301,35,447,2,2,1,169,1,1,2,901110000,35332,35040,33,0,141644625,48625,0,0,0,0
301,35,474,2,2,1,169,1,1,2,901110000,79800,79140,33,0,326130741,111957,0,0,0,0
301,35,538,2,2,1,169,1,1,2,901110000,570152,565440,33,0,2206582935,757495,0,0,0,0
301,35,548,2,2,1,169,1,1,2,901110000,57052,56580,33,0,261648573,89821,0,0,0,0
301,35,589,2,2,1,169,1,1,2,2101110000,16638,16500,33,0,65734758,22566,0,0,0,0
301,35,603,2,2,1,169,1,1,2,901110000,96437,95640,33,0,358529127,123079,0,0,0,0
301,35,603,2,2,1,169,1,1,2,2101110000,11708,11400,33,0,266661846,91542,0,0,0,0
301,35,607,2,2,1,169,1,1,2,901110000,17545,17400,33,0,76466250,26250,0,0,0,0
301,35,628,2,2,1,169,1,1,2,901110000,396517,393240,33,0,1649393034,566218,0,0,0,0
301,35,644,2,2,1,169,1,1,2,2101110000,114950,114000,33,0,2666618460,915420,0,0,0,0
301,35,670,2,2,1,169,1,1,2,901110000,58080,57600,33,0,214559928,73656,0,0,0,0
