"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
302,2,23,2,2,1,169,1,1,2,901110000,211750,210000,33,0,792662966,268530,0,0,0,0
302,2,232,2,2,1,169,1,1,2,901110000,42350,42000,33,0,177660646,60186,0,0,0,0
302,2,249,2,2,1,169,1,1,2,2101110000,70,69,33,0,1859672,630,0,0,0,0
302,2,249,2,2,1,169,1,1,2,901211000,3406,3378,33,0,23275416,7885,0,0,0,0
302,2,249,2,2,1,169,1,1,2,901212000,1678,1664,33,0,11462072,3883,0,0,0,0
302,2,249,2,2,1,169,1,1,2,901110000,114950,114000,33,0,477478114,161755,0,0,0,0
302,2,573,2,2,1,169,1,1,2,901110000,21175,21000,33,0,86775828,29397,0,0,0,0
302,2,399,2,2,1,169,1,1,2,2101110000,51937,51508,33,0,946248242,320560,0,0,0,0
302,2,399,2,2,1,169,1,1,2,901110000,292336,289920,33,0,1395125784,472626,0,0,0,0
302,35,23,2,2,1,169,1,1,2,901110000,4249097,4213980,33,0,17524460759,5936752,0,0,0,0
302,35,23,2,2,1,169,1,1,2,2101110000,124304,123277,33,0,2700515025,914852,0,0,0,0
302,35,53,2,2,1,169,1,1,2,2101110000,5305,5262,33,0,226525736,76740,0,0,0,0
302,35,69,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,156212431,52920,0,0,0,0
302,35,69,2,2,1,169,1,1,2,901110000,117068,116100,33,0,498631143,168921,0,0,0,0
302,35,72,2,2,1,169,1,1,2,901110000,84519,83820,33,0,272229385,92223,0,0,0,0
302,35,87,2,2,1,169,1,1,2,901110000,2450250,2430000,33,0,9877788455,3346293,0,0,0,0
302,35,149,2,2,1,169,1,1,2,901110000,3347042,3319380,33,0,14069535922,4766329,0,0,0,0
302,35,211,2,2,1,169,1,1,2,2101110000,3258,3231,33,0,84688863,28690,0,0,0,0
302,35,211,2,2,1,169,1,1,2,901110000,52272,51840,33,0,217578649,73709,0,0,0,0
302,35,211,2,2,1,169,1,1,2,901120000,726,720,33,0,4294956,1455,0,0,0,0
302,35,215,2,2,1,169,1,1,2,2101110000,1001,992,33,0,17826283,6039,0,0,0,0
302,35,190,2,2,1,169,1,1,2,901110000,501243,497100,33,0,2057192560,696914,0,0,0,0
302,35,232,2,2,1,169,1,1,2,901110000,317081,314460,33,0,1298266402,439813,0,0,0,0
302,35,239,2,2,1,169,1,1,2,2101110000,96102,95308,33,0,1399282003,474034,0,0,0,0
302,35,249,2,2,1,169,1,1,2,2101110000,114299,113354,33,0,1475404569,499822,0,0,0,0
302,35,249,2,2,1,169,1,1,2,901110000,14185616,14068380,33,0,59896170597,20290993,0,0,0,0
302,35,249,2,2,1,169,1,1,2,901120000,4961,4920,33,0,20102167,6810,0,0,0,0
302,35,240,2,2,1,169,1,1,2,901110000,19360,19200,33,0,75966117,25735,0,0,0,0
302,35,247,2,2,1,169,1,1,2,901110000,19421,19260,33,0,83328056,28229,0,0,0,0
302,35,245,2,2,1,169,1,1,2,901110000,174422,172980,33,0,738121449,250053,0,0,0,0
302,35,271,2,2,1,169,1,1,2,901110000,377339,374220,33,0,1565530758,530354,0,0,0,0
