"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
307,6,580,1,1,1,169,1,1,2,2711130000,1204506,1204506,67,2100,876234047,306502,0,0,0,0
307,6,242,1,1,1,169,1,1,2,2711130000,2254166,2254166,67,3931,1590387295,556309,0,0,0,0
307,6,815,1,1,1,169,1,1,2,2709000000,127725654,127725654,67,138151,71936822142,25163117,0,0,0,0
307,6,647,1,1,1,169,1,1,2,2709000000,90993294,90993294,67,98422,53163700213,18596379,0,0,0,0
307,6,611,1,1,1,169,1,1,2,2709000000,77179116,77179116,67,83478,40566461400,14189932,0,0,0,0
307,6,249,1,1,1,169,1,1,2,2710192200,269909569,269909569,67,261798,116000000000,40590002,0,0,0,0
307,6,647,1,1,1,169,1,1,2,2710111200,26276722,26276722,67,35786,22692361173,7937667,0,0,0,0
307,6,647,1,1,1,169,1,1,2,2710111900,3500465,3500464,67,4767,2954378917,1033426,0,0,0,0
307,6,647,1,1,1,169,1,1,2,2711190000,5908873,5908873,67,8044,5435037067,1901147,0,0,0,0
307,6,647,1,1,1,169,1,1,2,2710191900,7216005,7216005,67,8856,5334286532,1865905,0,0,0,0
307,6,249,1,1,1,169,1,1,2,2710191900,28699260,28699260,67,35226,21019193886,7352402,0,0,0,0
307,6,647,1,1,1,169,1,1,2,2710119900,1838722,1838722,67,2465,1416319463,495421,0,0,0,0
307,6,249,1,1,1,169,1,1,2,2710119900,57590427,57590427,67,77283,43881737755,15349598,0,0,0,0
307,6,249,1,1,1,169,1,1,2,2709000000,900000444,900000444,67,973464,516000000000,180604304,0,0,0,0
307,2,47,2,2,1,169,1,1,2,2101110000,2560,2538,33,0,68834668,24078,0,0,0,0
307,2,232,2,2,1,169,1,1,2,901110000,42350,42000,33,0,169419391,59262,0,0,0,0
307,2,249,2,2,1,169,1,1,2,901110000,182650,181140,33,0,821324692,287295,0,0,0,0
307,2,573,2,2,1,169,1,1,2,901110000,21175,21000,33,0,80069831,28008,0,0,0,0
307,2,399,2,2,1,169,1,1,2,901110000,234498,232560,33,0,1047308695,366343,0,0,0,0
307,2,548,2,2,1,169,1,1,2,901110000,19421,19260,33,0,108658031,38008,0,0,0,0
307,35,23,2,2,1,169,1,1,2,2101110000,76440,75808,33,0,1396350606,488436,0,0,0,0
307,35,23,2,2,1,169,1,1,2,901110000,7391346,7330260,33,0,27299706955,9549292,0,0,0,0
307,35,69,2,2,1,169,1,1,2,901110000,38781,38460,33,0,191212176,66885,0,0,0,0
307,35,87,2,2,1,169,1,1,2,901110000,1014888,1006500,33,0,3841722339,1343814,0,0,0,0
307,35,149,2,2,1,169,1,1,2,901110000,2732906,2710320,33,0,10635339282,3720185,0,0,0,0
307,35,149,2,2,1,169,1,1,2,901120000,12342,12240,33,0,44817721,15677,0,0,0,0
307,35,211,2,2,1,169,1,1,2,2101110000,7073,7015,33,0,151963436,53156,0,0,0,0
307,35,211,2,2,1,169,1,1,2,901110000,88210,87480,33,0,346631925,121250,0,0,0,0
307,35,215,2,2,1,169,1,1,2,2101110000,6818,6762,33,0,81047547,28350,0,0,0,0
307,35,190,2,2,1,169,1,1,2,901110000,432454,428880,33,0,1625236311,568499,0,0,0,0
307,35,232,2,2,1,169,1,1,2,901110000,295119,292680,33,0,1103098568,385858,0,0,0,0
307,35,244,2,2,1,169,1,1,2,901110000,14399,14280,33,0,117900596,41241,0,0,0,0
307,35,239,2,2,1,169,1,1,2,2101110000,107435,106546,33,0,1529291453,534938,0,0,0,0
307,35,239,2,2,1,169,1,1,2,901212000,1016,1008,33,0,7432932,2600,0,0,0,0
307,35,249,2,2,1,169,1,1,2,901110000,14569731,14449320,33,0,56936064720,19915932,0,0,0,0
307,35,249,2,2,1,169,1,1,2,901120000,17666,17520,33,0,62259382,21778,0,0,0,0
307,35,249,2,2,1,169,1,1,2,2101110000,34392,34108,33,0,526022880,184000,0,0,0,0
307,35,247,2,2,1,169,1,1,2,901110000,19421,19260,33,0,72328146,25300,0,0,0,0
307,35,245,2,2,1,169,1,1,2,901110000,125175,124140,33,0,475436060,166305,0,0,0,0
