"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
306,2,47,2,2,1,169,1,1,2,2101110000,2629,2608,33,0,69559932,24606,0,0,0,0
306,2,47,2,2,1,169,1,1,2,901212000,305,303,33,0,3519553,1245,0,0,0,0
306,2,232,2,2,1,169,1,1,2,901110000,42350,42000,33,0,178776318,63240,0,0,0,0
306,2,249,2,2,1,169,1,1,2,901110000,35211,34920,33,0,143758888,50853,0,0,0,0
306,2,245,2,2,1,169,1,1,2,901110000,158752,157440,33,0,744463148,263345,0,0,0,0
306,2,573,2,2,1,169,1,1,2,901110000,21175,21000,33,0,87429083,30927,0,0,0,0
306,2,399,2,2,1,169,1,1,2,901110000,282898,280560,33,0,1664912414,588943,0,0,0,0
306,35,23,2,2,1,169,1,1,2,2101110000,42234,41885,33,0,699036888,247276,0,0,0,0
306,35,23,2,2,1,169,1,1,2,901110000,6737703,6682020,33,0,25249178139,8931597,0,0,0,0
306,35,69,2,2,1,169,1,1,2,901110000,38841,38520,33,0,180506411,63852,0,0,0,0
306,35,72,2,2,1,169,1,1,2,901110000,148044,146820,33,0,492497094,174215,0,0,0,0
306,35,87,2,2,1,169,1,1,2,901110000,3687536,3657060,33,0,13268041053,4693412,0,0,0,0
306,35,149,2,2,1,169,1,1,2,901110000,2537249,2516280,33,0,9673794631,3421990,0,0,0,0
306,35,211,2,2,1,169,1,1,2,901110000,285681,283320,33,0,1060335233,375081,0,0,0,0
306,35,190,2,2,1,169,1,1,2,901110000,495253,491160,33,0,1867539709,660620,0,0,0,0
306,35,232,2,2,1,169,1,1,2,901110000,380666,377520,33,0,1447019589,511866,0,0,0,0
306,35,244,2,2,1,169,1,1,2,901110000,18150,18000,33,0,144149007,50991,0,0,0,0
306,35,239,2,2,1,169,1,1,2,2101110000,34415,34131,33,0,410343100,145154,0,0,0,0
