"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
303,2,23,2,2,1,169,1,1,2,901110000,105875,105000,33,0,499998715,168975,0,0,0,0
303,2,69,2,2,1,169,1,1,2,2101110000,6446,6392,33,0,113625984,38400,0,0,0,0
303,2,232,2,2,1,169,1,1,2,901110000,42350,42000,33,0,193164173,65280,0,0,0,0
303,2,249,2,2,1,169,1,1,2,901110000,98010,97200,33,0,423168020,143010,0,0,0,0
303,2,573,2,2,1,169,1,1,2,901110000,21175,21000,33,0,95206147,32175,0,0,0,0
303,2,399,2,2,1,169,1,1,2,901110000,98313,97500,33,0,512873367,173326,0,0,0,0
303,35,23,2,2,1,169,1,1,2,2101110000,110528,109615,33,0,2458706507,830922,0,0,0,0
303,35,23,2,2,1,169,1,1,2,901110000,4426120,4389540,33,0,16954180417,5729680,0,0,0,0
303,35,69,2,2,1,169,1,1,2,2101110000,5445,5400,33,0,153395078,51840,0,0,0,0
303,35,69,2,2,1,169,1,1,2,901110000,99160,98340,33,0,411044956,138913,0,0,0,0
303,35,87,2,2,1,169,1,1,2,901110000,725577,719580,33,0,2987005194,1009461,0,0,0,0
303,35,149,2,2,1,169,1,1,2,901110000,1857048,1841700,33,0,7681542616,2595984,0,0,0,0
303,35,211,2,2,1,169,1,1,2,2101110000,5236,5192,33,0,116463675,39359,0,0,0,0
303,35,215,2,2,1,169,1,1,2,901110000,17606,17460,33,0,77674013,26250,0,0,0,0
303,35,190,2,2,1,169,1,1,2,901110000,361427,358440,33,0,1431669644,483834,0,0,0,0
303,35,232,2,2,1,169,1,1,2,901110000,359733,356760,33,0,1451406241,490504,0,0,0,0
303,35,244,2,2,1,169,1,1,2,901110000,18150,18000,33,0,147657558,49901,0,0,0,0
303,35,239,2,2,1,169,1,1,2,2101110000,82885,82200,33,0,1280499741,432746,0,0,0,0
303,35,249,2,2,1,169,1,1,2,2101110000,139568,138415,33,0,1773621717,599397,0,0,0,0
303,35,249,2,2,1,169,1,1,2,901110000,12745596,12640260,33,0,54276212014,18342693,0,0,0,0
303,35,249,2,2,1,169,1,1,2,901120000,52877,52440,33,0,268814222,90846,0,0,0,0
303,35,245,2,2,1,169,1,1,2,901110000,36966,36660,33,0,178567376,60347,0,0,0,0
