"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
305,6,239,1,1,1,169,1,1,2,2711130000,1599416,1599416,67,2790,1048739243,366828,0,0,0,0
305,6,647,1,1,1,169,1,1,2,2709000000,32149929,32149929,67,34774,14344948729,5017576,0,0,0,0
305,6,196,1,1,1,169,1,1,2,2709000000,33581121,33581121,67,36322,17927955309,6270840,0,0,0,0
305,6,493,1,1,1,169,1,1,2,2710192200,52525825,52525825,67,50947,17993962516,6293928,0,0,0,0
305,6,249,1,1,1,169,1,1,2,2710192200,184113815,184113815,67,178582,61993918234,21684232,0,0,0,0
305,6,249,1,1,1,169,1,1,2,2710111900,7004666,7004666,67,9539,5720232908,2000823,0,0,0,0
305,6,647,1,1,1,169,1,1,2,2710111900,55203428,55203428,67,75175,42639603451,14914480,0,0,0,0
305,6,589,1,1,1,169,1,1,2,2711190000,2382371,2382371,67,3244,1128380733,394685,0,0,0,0
305,6,249,1,1,1,169,1,1,2,2710191900,28396553,28396553,67,34858,19072368979,6671133,0,0,0,0
305,6,647,1,1,1,169,1,1,2,2710191900,9728590,9728590,67,11942,6539239167,2287295,0,0,0,0
305,6,647,1,1,1,169,1,1,2,2710119900,3546877,3546877,67,4760,2554611555,893552,0,0,0,0
305,6,249,1,1,1,169,1,1,2,2710119900,55989735,55989735,67,75136,36943319884,12922034,0,0,0,0
305,6,47,1,1,1,169,1,1,2,2709000000,19257000,19257000,67,20829,10089599512,3529140,0,0,0,0
305,6,611,1,1,1,169,1,1,2,2709000000,84027111,84027111,67,90887,46788531486,16365692,0,0,0,0
305,6,249,1,1,1,169,1,1,2,2709000000,885893148,885893148,67,958212,449000000000,157059363,0,0,0,0
305,35,23,2,2,1,169,1,1,2,2101110000,116788,115823,33,0,2549945765,891920,0,0,0,0
305,35,23,2,2,1,169,1,1,2,901110000,5525223,5479560,33,0,21605412691,7557141,0,0,0,0
305,35,53,2,2,1,169,1,1,2,901110000,18090,17940,33,0,69229232,24215,0,0,0,0
305,35,69,2,2,1,169,1,1,2,901110000,155485,154200,33,0,612344923,214186,0,0,0,0
305,35,72,2,2,1,169,1,1,2,901110000,84821,84120,33,0,319203510,111651,0,0,0,0
305,35,87,2,2,1,169,1,1,2,901110000,2839568,2816100,33,0,10926960166,3822032,0,0,0,0
