"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
311,2,232,2,2,1,169,1,1,2,901110000,84700,84000,33,0,313440965,110190,0,0,0,0
311,2,249,2,2,1,169,1,1,2,901110000,77743,77100,33,0,320011875,112500,0,0,0,0
311,2,573,2,2,1,169,1,1,2,901110000,42350,42000,33,0,145478821,51143,0,0,0,0
311,2,386,2,2,1,169,1,1,2,901110000,19360,19200,33,0,78154011,27475,0,0,0,0
311,2,399,2,2,1,169,1,1,2,901110000,78348,77700,33,0,407205866,143153,0,0,0,0
311,35,23,2,2,1,169,1,1,2,2101110000,69133,68562,33,0,1205836035,423911,0,0,0,0
311,35,23,2,2,1,169,1,1,2,901110000,4786700,4747140,33,0,18318902000,6440000,0,0,0,0
311,35,63,2,2,1,169,1,1,2,901110000,19421,19260,33,0,71526210,25145,0,0,0,0
311,35,69,2,2,1,169,1,1,2,901110000,136488,135360,33,0,551583846,193909,0,0,0,0
311,35,72,2,2,1,169,1,1,2,901110000,296329,293880,33,0,1206612597,424184,0,0,0,0
311,35,87,2,2,1,169,1,1,2,901110000,2828375,2805000,33,0,10711855629,3765747,0,0,0,0
311,35,149,2,2,1,169,1,1,2,901110000,2630359,2608620,33,0,10468788831,3680297,0,0,0,0
311,35,211,2,2,1,169,1,1,2,2101110000,9215,9138,33,0,191020066,67153,0,0,0,0
311,35,211,2,2,1,169,1,1,2,901110000,211750,210000,33,0,801002524,281592,0,0,0,0
311,35,190,2,2,1,169,1,1,2,901211000,254,252,33,0,1846113,649,0,0,0,0
311,35,190,2,2,1,169,1,1,2,901212000,102,101,33,0,1009815,355,0,0,0,0
311,35,190,2,2,1,169,1,1,2,901110000,1084341,1075380,33,0,4063712752,1428596,0,0,0,0
311,35,232,2,2,1,169,1,1,2,901110000,317565,314940,33,0,1182880517,415841,0,0,0,0
311,35,244,2,2,1,169,1,1,2,901110000,105996,105120,33,0,398566968,140116,0,0,0,0
311,35,239,2,2,1,169,1,1,2,2101110000,171146,169731,33,0,2692534403,946559,0,0,0,0
311,35,239,2,2,1,169,1,1,2,901212000,12608,12504,33,0,81780813,28750,0,0,0,0
311,35,249,2,2,1,169,1,1,2,2101110000,106247,105369,33,0,1477854662,519539,0,0,0,0
311,35,249,2,2,1,169,1,1,2,901110000,17012298,16871700,33,0,68465158205,24068889,0,0,0,0
311,35,249,2,2,1,169,1,1,2,901120000,17606,17460,33,0,66357662,23328,0,0,0,0
311,35,240,2,2,1,169,1,1,2,901110000,19421,19260,33,0,70012909,24613,0,0,0,0
311,35,245,2,2,1,169,1,1,2,901110000,101761,100920,33,0,399366286,140397,0,0,0,0
311,35,676,2,2,1,169,1,1,2,2101110000,13659,13546,33,0,362310334,127370,0,0,0,0
311,35,676,2,2,1,169,1,1,2,901211000,3508,3479,33,0,57363195,20166,0,0,0,0
311,35,676,2,2,1,169,1,1,2,901212000,1627,1613,33,0,26738770,9400,0,0,0,0
311,35,271,2,2,1,169,1,1,2,901110000,754798,748560,33,0,2892662719,1016914,0,0,0,0
311,35,275,2,2,1,169,1,1,2,2101110000,25387,25177,33,0,244315555,85889,0,0,0,0
311,35,275,2,2,1,169,1,1,2,901110000,443344,439680,33,0,1703811492,598974,0,0,0,0
311,35,301,2,2,1,169,1,1,2,901110000,20147,19980,33,0,75153011,26420,0,0,0,0
311,35,573,2,2,1,169,1,1,2,901110000,1514860,1502340,33,0,5858123161,2059420,0,0,0,0
311,35,351,2,2,1,169,1,1,2,2101110000,3071,3046,33,0,59863555,21045,0,0,0,0
311,35,351,2,2,1,169,1,1,2,901110000,54753,54300,33,0,227191364,79869,0,0,0,0
311,35,375,2,2,1,169,1,1,2,901110000,38841,38520,33,0,162173485,57012,0,0,0,0
311,35,379,2,2,1,169,1,1,2,901110000,19421,19260,33,0,70402613,24750,0,0,0,0
311,35,383,2,2,1,169,1,1,2,901110000,213626,211860,33,0,796565026,280032,0,0,0,0
311,35,386,2,2,1,169,1,1,2,901110000,175692,174240,33,0,758021373,266482,0,0,0,0
311,35,399,2,2,1,169,1,1,2,2101110000,32252,31985,33,0,788807938,277305,0,0,0,0
311,35,399,2,2,1,169,1,1,2,901110000,6231379,6179880,33,0,26473868437,9306874,0,0,0,0
311,35,403,2,2,1,169,1,1,2,901110000,38841,38520,33,0,138458471,48675,0,0,0,0
311,35,474,2,2,1,169,1,1,2,901110000,39567,39240,33,0,147973491,52020,0,0,0,0
311,35,538,2,2,1,169,1,1,2,901110000,205277,203580,33,0,774030501,272110,0,0,0,0
311,35,548,2,2,1,169,1,1,2,901110000,75928,75300,33,0,310616326,109197,0,0,0,0
311,35,589,2,2,1,169,1,1,2,2101110000,30622,30369,33,0,650844418,228804,0,0,0,0
311,35,603,2,2,1,169,1,1,2,2101110000,54637,54185,33,0,1238022118,435226,0,0,0,0
311,35,603,2,2,1,169,1,1,2,901110000,279207,276900,33,0,1088967698,382826,0,0,0,0
311,35,607,2,2,1,169,1,1,2,901110000,60319,59820,33,0,223698257,78641,0,0,0,0
311,35,628,2,2,1,169,1,1,2,901211000,3610,3580,33,0,28857960,10145,0,0,0,0
311,35,628,2,2,1,169,1,1,2,901212000,4372,4336,33,0,34845738,12250,0,0,0,0
311,35,628,2,2,1,169,1,1,2,901110000,155303,154020,33,0,620359376,218087,0,0,0,0
311,35,644,2,2,1,169,1,1,2,2101110000,163908,162554,33,0,3714066355,1305678,0,0,0,0
311,35,670,2,2,1,169,1,1,2,901110000,20147,19980,33,0,72371041,25442,0,0,0,0
311,35,744,2,2,1,169,1,1,2,901110000,79195,78540,33,0,321363036,112975,0,0,0,0
311,35,756,2,2,1,169,1,1,2,901110000,19421,19260,33,0,82264386,28920,0,0,0,0
311,35,756,2,2,1,169,1,1,2,901120000,20086,19920,33,0,103063736,36232,0,0,0,0
