"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
310,2,249,2,2,1,169,1,1,2,901211000,8084,8017,33,0,48323036,16801,0,0,0,0
310,2,249,2,2,1,169,1,1,2,901212000,0,0,33,0,2876,1,0,0,0,0
310,2,249,2,2,1,169,1,1,2,901110000,95469,94680,33,0,423051629,147087,0,0,0,0
310,2,573,2,2,1,169,1,1,2,901110000,42350,42000,33,0,160189959,55695,0,0,0,0
310,2,399,2,2,1,169,1,1,2,901110000,220765,218940,33,0,1103635331,383713,0,0,0,0
310,35,23,2,2,1,169,1,1,2,2101110000,21175,21000,33,0,265105106,92172,0,0,0,0
310,35,23,2,2,1,169,1,1,2,901110000,4687540,4648800,33,0,18718332610,6508008,0,0,0,0
310,35,63,2,2,1,169,1,1,2,901110000,60440,59940,33,0,262893309,91403,0,0,0,0
310,35,69,2,2,1,169,1,1,2,2101110000,6748,6692,33,0,184997184,64320,0,0,0,0
310,35,69,2,2,1,169,1,1,2,901110000,97708,96900,33,0,388045399,134916,0,0,0,0
310,35,87,2,2,1,169,1,1,2,901110000,1572214,1559220,33,0,5986488166,2081388,0,0,0,0
310,35,111,2,2,1,169,1,1,2,901110000,20026,19860,33,0,79938227,27793,0,0,0,0
310,35,149,2,2,1,169,1,1,2,901110000,3020221,2995260,33,0,12111016674,4210770,0,0,0,0
310,35,211,2,2,1,169,1,1,2,2101110000,3746,3715,33,0,86030018,29911,0,0,0,0
310,35,211,2,2,1,169,1,1,2,901211000,306,303,33,0,3882870,1350,0,0,0,0
310,35,211,2,2,1,169,1,1,2,901110000,70604,70020,33,0,297686700,103500,0,0,0,0
310,35,190,2,2,1,169,1,1,2,901110000,429066,425520,33,0,1659081322,576831,0,0,0,0
310,35,232,2,2,1,169,1,1,2,901110000,421806,418320,33,0,1724060433,599423,0,0,0,0
310,35,239,2,2,1,169,1,1,2,2101110000,112064,111138,33,0,1803883611,627176,0,0,0,0
310,35,239,2,2,1,169,1,1,2,901212000,8084,8017,33,0,52922080,18400,0,0,0,0
310,35,249,2,2,1,169,1,1,2,2101110000,60570,60069,33,0,657809950,228708,0,0,0,0
310,35,249,2,2,1,169,1,1,2,901110000,16021368,15888960,33,0,68116236388,23682719,0,0,0,0
310,35,249,2,2,1,169,1,1,2,901120000,17605,17460,33,0,66477611,23113,0,0,0,0
310,35,245,2,2,1,169,1,1,2,901110000,153307,152040,33,0,584469726,203209,0,0,0,0
310,35,245,2,2,1,169,1,1,2,901120000,3509,3480,33,0,13244901,4605,0,0,0,0
310,35,676,2,2,1,169,1,1,2,2101110000,13659,13546,33,0,385770325,134125,0,0,0,0
310,35,271,2,2,1,169,1,1,2,901110000,617342,612240,33,0,2473218494,859891,0,0,0,0
310,35,275,2,2,1,169,1,1,2,2101110000,28574,28338,33,0,287430171,99934,0,0,0,0
310,35,275,2,2,1,169,1,1,2,901110000,365058,362040,33,0,1499964186,521509,0,0,0,0
310,35,301,2,2,1,169,1,1,2,901110000,20147,19980,33,0,72106334,25070,0,0,0,0
310,35,573,2,2,1,169,1,1,2,901110000,1098378,1089300,33,0,4399257196,1529538,0,0,0,0
310,35,351,2,2,1,169,1,1,2,2101110000,1489,1477,33,0,39553502,13752,0,0,0,0
310,35,351,2,2,1,169,1,1,2,901110000,35272,34980,33,0,144618212,50281,0,0,0,0
310,35,375,2,2,1,169,1,1,2,901110000,38841,38520,33,0,159019346,55288,0,0,0,0
310,35,379,2,2,1,169,1,1,2,901110000,37026,36720,33,0,161510135,56154,0,0,0,0
310,35,383,2,2,1,169,1,1,2,901110000,213626,211860,33,0,808741421,281184,0,0,0,0
310,35,386,2,2,1,169,1,1,2,901110000,310607,308040,33,0,1277533259,444174,0,0,0,0
310,35,399,2,2,1,169,1,1,2,2101110000,23595,23400,33,0,725472555,252233,0,0,0,0
310,35,399,2,2,1,169,1,1,2,901110000,7951999,7886280,33,0,33243456115,11558117,0,0,0,0
310,35,431,2,2,1,169,1,1,2,901110000,39688,39360,33,0,165220433,57444,0,0,0,0
310,35,493,2,2,1,169,1,1,2,901110000,58806,58320,33,0,234666282,81589,0,0,0,0
310,35,538,2,2,1,169,1,1,2,901110000,612381,607320,33,0,2422985661,842426,0,0,0,0
310,35,548,2,2,1,169,1,1,2,901110000,17606,17460,33,0,69888784,24299,0,0,0,0
310,35,589,2,2,1,169,1,1,2,2101110000,17312,17169,33,0,370572484,128841,0,0,0,0
310,35,603,2,2,1,169,1,1,2,2101110000,6748,6692,33,0,181143076,62980,0,0,0,0
310,35,603,2,2,1,169,1,1,2,901110000,381816,378660,33,0,1460220854,507691,0,0,0,0
310,35,607,2,2,1,169,1,1,2,901110000,19421,19260,33,0,80222970,27892,0,0,0,0
310,35,628,2,2,1,169,1,1,2,901110000,364997,361980,33,0,1458288048,507019,0,0,0,0
310,35,644,2,2,1,169,1,1,2,2101110000,218545,216738,33,0,5007188085,1740904,0,0,0,0
310,35,670,2,2,1,169,1,1,2,901110000,98373,97560,33,0,373788076,129959,0,0,0,0
310,35,744,2,2,1,169,1,1,2,901110000,39507,39180,33,0,175957287,61177,0,0,0,0
310,35,756,2,2,1,169,1,1,2,901110000,38902,38580,33,0,169667038,58990,0,0,0,0
310,35,764,2,2,1,169,1,1,2,901110000,927828,920160,33,0,3517857210,1223092,0,0,0,0
310,35,767,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,285088944,99120,0,0,0,0
310,35,218,2,2,1,169,1,1,2,2101110000,14031,13915,33,0,209792904,72941,0,0,0,0
310,35,218,2,2,1,169,1,1,2,901110000,17666,17520,33,0,84128850,29250,0,0,0,0
