"FECH","ADUANA","PAIS","DEPTORIG","DEPTOPROC","via4","BANDERA4","REGIMEN4","PAGO","SISESP","POSARA","PBK","PNK","CODA","UNID","FOBPES","FOBDOL","FLETES4","SEGURO4","OTROSG4","AGRENA"
309,2,232,2,2,1,169,1,1,2,901110000,42350,42000,33,0,163043313,57408,0,0,0,0
309,2,249,2,2,1,169,1,1,2,901110000,40233,39900,33,0,181699798,63977,0,0,0,0
309,2,573,2,2,1,169,1,1,2,901110000,42350,42000,33,0,166459929,58611,0,0,0,0
309,2,399,2,2,1,169,1,1,2,901110000,76170,75540,33,0,418570990,147380,0,0,0,0
309,35,23,2,2,1,169,1,1,2,2101110000,55893,55431,33,0,1011304207,356083,0,0,0,0
309,35,23,2,2,1,169,1,1,2,901110000,5330473,5286420,33,0,20804548787,7325339,0,0,0,0
309,35,63,2,2,1,169,1,1,2,901110000,20147,19980,33,0,115375410,40624,0,0,0,0
309,35,69,2,2,1,169,1,1,2,901110000,156635,155340,33,0,668441229,235360,0,0,0,0
309,35,69,2,2,1,169,1,1,2,901120000,19360,19200,33,0,66954886,23575,0,0,0,0
309,35,87,2,2,1,169,1,1,2,901110000,620609,615480,33,0,2529065679,890491,0,0,0,0
309,35,149,2,2,1,169,1,1,2,901110000,1705556,1691460,33,0,6592385176,2321197,0,0,0,0
309,35,211,2,2,1,169,1,1,2,2101110000,12751,12646,33,0,260756265,91813,0,0,0,0
309,35,211,2,2,1,169,1,1,2,901211000,610,605,33,0,4578209,1612,0,0,0,0
309,35,211,2,2,1,169,1,1,2,901212000,0,0,33,0,190285,67,0,0,0,0
309,35,211,2,2,1,169,1,1,2,901110000,88209,87480,33,0,372050480,131000,0,0,0,0
309,35,190,2,2,1,169,1,1,2,2101110000,3397,3369,33,0,94233854,33180,0,0,0,0
309,35,190,2,2,1,169,1,1,2,901110000,837199,830280,33,0,3304518282,1163530,0,0,0,0
309,35,232,2,2,1,169,1,1,2,901110000,232441,230520,33,0,878561708,309344,0,0,0,0
309,35,239,2,2,1,169,1,1,2,2101110000,50168,49754,33,0,780431263,274792,0,0,0,0
309,35,249,2,2,1,169,1,1,2,2101110000,63571,63046,33,0,831654946,292828,0,0,0,0
309,35,249,2,2,1,169,1,1,2,901110000,14642089,14521080,33,0,61390765989,21615858,0,0,0,0
309,35,249,2,2,1,169,1,1,2,901120000,17606,17460,33,0,64356213,22660,0,0,0,0
309,35,247,2,2,1,169,1,1,2,901110000,19421,19260,33,0,76276029,26857,0,0,0,0
309,35,245,2,2,1,169,1,1,2,901110000,642147,636840,33,0,2471693223,870290,0,0,0,0
309,35,676,2,2,1,169,1,1,2,2101110000,210,208,33,0,8679284,3056,0,0,0,0
309,35,676,2,2,1,169,1,1,2,901211000,2084,2067,33,0,34166162,12030,0,0,0,0
309,35,676,2,2,1,169,1,1,2,901212000,2491,2471,33,0,40544982,14276,0,0,0,0
309,35,271,2,2,1,169,1,1,2,901110000,357676,354720,33,0,1328137851,467641,0,0,0,0
309,35,275,2,2,1,169,1,1,2,2101110000,11100,11008,33,0,112467168,39600,0,0,0,0
309,35,301,2,2,1,169,1,1,2,901110000,20147,19980,33,0,78809380,27749,0,0,0,0
309,35,573,2,2,1,169,1,1,2,901110000,834779,827880,33,0,3388331883,1193041,0,0,0,0
309,35,351,2,2,1,169,1,1,2,901110000,25410,25200,33,0,134821438,47471,0,0,0,0
309,35,275,2,2,1,169,1,1,2,901110000,800898,794280,33,0,3106544826,1093823,0,0,0,0
309,35,383,2,2,1,169,1,1,2,901110000,189849,188280,33,0,806611121,284010,0,0,0,0
309,35,386,2,2,1,169,1,1,2,901110000,114648,113700,33,0,451070026,158823,0,0,0,0
309,35,391,2,2,1,169,1,1,2,901110000,42350,42000,33,0,163179636,57456,0,0,0,0
309,35,399,2,2,1,169,1,1,2,2101110000,31274,31015,33,0,775614488,273096,0,0,0,0
309,35,399,2,2,1,169,1,1,2,901110000,5203000,5160000,33,0,21852952959,7694485,0,0,0,0
309,35,403,2,2,1,169,1,1,2,901110000,19481,19320,33,0,70791834,24926,0,0,0,0
309,35,538,2,2,1,169,1,1,2,901110000,578562,573780,33,0,2234844752,786895,0,0,0,0
309,35,548,2,2,1,169,1,1,2,901110000,56265,55800,33,0,227152438,79981,0,0,0,0
309,35,580,2,2,1,169,1,1,2,901110000,101580,100740,33,0,370607719,130492,0,0,0,0
309,35,589,2,2,1,169,1,1,2,2101110000,10122,10038,33,0,214173273,75411,0,0,0,0
309,35,603,2,2,1,169,1,1,2,2101110000,13659,13546,33,0,309020585,108807,0,0,0,0
309,35,603,2,2,1,169,1,1,2,901110000,161475,160140,33,0,639966587,225334,0,0,0,0
309,35,607,2,2,1,169,1,1,2,901110000,19360,19200,33,0,72316957,25463,0,0,0,0
309,35,628,2,2,1,169,1,1,2,901110000,200316,198660,33,0,821549942,289270,0,0,0,0
309,35,644,2,2,1,169,1,1,2,2101110000,163908,162554,33,0,3708229974,1305678,0,0,0,0
309,35,670,2,2,1,169,1,1,2,901110000,77501,76860,33,0,296944564,104555,0,0,0,0
309,35,741,2,2,1,169,1,1,2,901110000,17666,17520,33,0,75668251,26643,0,0,0,0
309,35,756,2,2,1,169,1,1,2,901110000,19360,19200,33,0,72410680,25496,0,0,0,0
309,35,764,2,2,1,169,1,1,2,901110000,687643,681960,33,0,2558400866,900820,0,0,0,0
309,35,767,2,2,1,169,1,1,2,2101110000,14287,14169,33,0,281508730,99120,0,0,0,0
309,35,767,2,2,1,169,1,1,2,901110000,77622,76980,33,0,278904376,98203,0,0,0,0
309,35,218,2,2,1,169,1,1,2,2101110000,14055,13938,33,0,220432809,77615,0,0,0,0
309,35,218,2,2,1,169,1,1,2,901110000,17666,17520,33,0,68516930,24125,0,0,0,0
309,35,850,2,2,1,169,1,1,2,901110000,75686,75060,33,0,288270960,101501,0,0,0,0
309,6,23,2,2,1,169,1,1,2,2101110000,53263,52823,33,0,1166233411,410634,0,0,0,0
309,6,23,2,2,1,169,1,1,2,901110000,648863,643500,33,0,2396459504,843800,0,0,0,0
309,6,47,2,2,1,169,1,1,2,2101110000,5143,5100,33,0,73325185,25818,0,0,0,0
309,6,63,2,2,1,169,1,1,2,901110000,39870,39540,33,0,155511420,54756,0,0,0,0
309,6,27,2,2,1,169,1,1,2,2101110000,4770,4731,33,0,67792710,23870,0,0,0,0
309,6,69,2,2,1,169,1,1,2,2101110000,6446,6392,33,0,104296258,36723,0,0,0,0
309,6,87,2,2,1,169,1,1,2,2101110000,40977,40638,33,0,1166037445,410565,0,0,0,0
309,6,87,2,2,1,169,1,1,2,901110000,56265,55800,33,0,227419406,80075,0,0,0,0
309,6,149,2,2,1,169,1,1,2,2101110000,6236,6185,33,0,217183758,76471,0,0,0,0
309,6,232,2,2,1,169,1,1,2,2101110000,2838,2815,33,0,93600517,32957,0,0,0,0
309,6,232,2,2,1,169,1,1,2,901110000,188095,186540,33,0,695356667,244837,0,0,0,0
309,6,249,2,2,1,169,1,1,2,2101110000,175845,174392,33,0,3060234481,1077517,0,0,0,0
309,6,249,2,2,1,169,1,1,2,901212000,4372,4336,33,0,45080590,15873,0,0,0,0
309,6,249,2,2,1,169,1,1,2,901110000,1200683,1190760,33,0,4818317843,1696543,0,0,0,0
309,6,249,2,2,1,169,1,1,2,901120000,348420,345540,33,0,1203855950,423881,0,0,0,0
309,6,245,2,2,1,169,1,1,2,2101110000,15917,15785,33,0,527107488,185596,0,0,0,0
309,6,245,2,2,1,169,1,1,2,901110000,747720,741540,33,0,2970868524,1046051,0,0,0,0
309,6,245,2,2,1,169,1,1,2,901120000,95106,94320,33,0,377301788,132849,0,0,0,0
309,6,676,2,2,1,169,1,1,2,2101110000,13659,13546,33,0,365589298,128725,0,0,0,0
309,6,271,2,2,1,169,1,1,2,901110000,155364,154080,33,0,642514138,226231,0,0,0,0
309,6,275,2,2,1,169,1,1,2,2101110000,40302,39969,33,0,700642056,246698,0,0,0,0
309,6,275,2,2,1,169,1,1,2,901110000,221309,219480,33,0,821768628,289347,0,0,0,0
309,6,301,2,2,1,169,1,1,2,901110000,20086,19920,33,0,94120251,33140,0,0,0,0
309,6,573,2,2,1,169,1,1,2,2101110000,6818,6762,33,0,67096890,23625,0,0,0,0
309,6,573,2,2,1,169,1,1,2,901110000,144837,143640,33,0,548933502,193281,0,0,0,0
309,6,383,2,2,1,169,1,1,2,901110000,19421,19260,33,0,78031198,27475,0,0,0,0
309,6,386,2,2,1,169,1,1,2,901110000,1184711,1174920,33,0,4657231346,1639824,0,0,0,0
309,6,399,2,2,1,169,1,1,2,2101110000,109668,108762,33,0,1769821413,623159,0,0,0,0
309,6,431,2,2,1,169,1,1,2,901110000,40293,39960,33,0,184272911,64883,0,0,0,0
309,6,455,2,2,1,169,1,1,2,2101110000,6818,6762,33,0,64222729,22613,0,0,0,0
309,6,493,2,2,1,169,1,1,2,2101110000,6376,6323,33,0,228467396,80444,0,0,0,0
309,6,538,2,2,1,169,1,1,2,901110000,60379,59880,33,0,220120400,77505,0,0,0,0
309,6,611,2,2,1,169,1,1,2,2101110000,6469,6415,33,0,95903821,33768,0,0,0,0
309,6,628,2,2,1,169,1,1,2,2101110000,179964,178477,33,0,4104477936,1445198,0,0,0,0
309,6,628,2,2,1,169,1,1,2,901110000,548009,543480,33,0,2363136845,832067,0,0,0,0
309,6,744,2,2,1,169,1,1,2,2101110000,3234,3208,33,0,76699200,27006,0,0,0,0
309,6,764,2,2,1,169,1,1,2,901110000,452298,448560,33,0,1833626650,645625,0,0,0,0
309,6,767,2,2,1,169,1,1,2,2101110000,512,508,33,0,29264184,10304,0,0,0,0
309,6,767,2,2,1,169,1,1,2,901110000,19299,19140,33,0,68914541,24265,0,0,0,0
309,6,850,2,2,1,169,1,1,2,2101110000,5073,5031,33,0,158459424,55794,0,0,0,0
309,6,850,2,2,1,169,1,1,2,901212000,24251,24050,33,0,131126494,46170,0,0,0,0
309,37,239,2,2,3,169,1,1,2,2101110000,6771,6715,33,0,197760451,69632,0,0,0,0
309,19,23,2,2,1,169,1,1,2,901110000,40535,40200,33,0,205334944,72299,0,0,0,0
309,19,87,2,2,1,169,1,1,2,901110000,213626,211860,33,0,809402919,284993,0,0,0,0
309,19,249,2,2,1,169,1,1,2,901110000,283564,281220,33,0,991179400,348997,0,0,0,0
309,19,271,2,2,1,169,1,1,2,901110000,147560,146340,33,0,546067862,192272,0,0,0,0
309,19,275,2,2,1,169,1,1,2,901110000,38841,38520,33,0,147008221,51762,0,0,0,0
309,19,399,2,2,1,169,1,1,2,901110000,259485,257340,33,0,1188136108,418346,0,0,0,0
309,19,538,2,2,1,169,1,1,2,901110000,42169,41820,33,0,157130266,55326,0,0,0,0
309,19,628,2,2,1,169,1,1,2,901110000,331843,329100,33,0,1268879582,446776,0,0,0,0
309,19,764,2,2,1,169,1,1,2,901110000,243573,241560,33,0,911870166,321072,0,0,0,0
309,6,580,1,1,1,169,1,1,2,2711130000,3182609,3182609,67,5552,2331870405,821058,0,0,0,0
309,6,647,1,1,1,169,1,1,2,2711130000,1047928,1047928,67,1828,788687376,277699,0,0,0,0
309,6,647,1,1,1,169,1,1,2,2709000000,101665053,101665053,67,109964,52056079087,18329089,0,0,0,0
309,6,647,1,1,1,169,1,1,2,2710192100,13244847,13244847,67,14326,7763247917,2733461,0,0,0,0
309,6,249,1,1,1,169,1,1,2,2710192100,11880981,11880981,67,12851,7029135518,2474978,0,0,0,0
309,6,249,1,1,1,169,1,1,2,2710192200,241376609,241376609,67,234123,89227974833,31417416,0,0,0,0
309,6,647,1,1,1,169,1,1,2,2710111200,48097531,48097531,67,65498,41075878235,14462930,0,0,0,0
309,6,647,1,1,1,169,1,1,2,2711190000,1490558,1490558,67,2030,717443969,252614,0,0,0,0
309,6,249,1,1,1,169,1,1,2,2710191900,27380276,27380276,67,33610,18885819140,6649749,0,0,0,0
309,6,647,1,1,1,169,1,1,2,2710191900,3905658,3905658,67,4794,2746118793,966916,0,0,0,0
309,6,249,1,1,1,169,1,1,2,2710119900,48997757,48997757,67,65754,33444915564,11776047,0,0,0,0
309,6,249,1,1,1,169,1,1,2,2709000000,776050632,776050632,67,839403,405000000000,142744936,0,0,0,0
309,47,196,2,2,4,169,1,1,2,901211000,610,605,33,0,3462058,1219,0,0,0,0
309,47,196,2,2,4,169,1,1,2,901212000,610,605,33,0,14555410,5125,0,0,0,0
309,47,196,2,2,4,169,1,1,2,2101110000,1233,1223,33,0,22161144,7803,0,0,0,0
309,7,196,2,2,1,169,1,1,2,2101110000,31995,31731,33,0,358375495,126185,0,0,0,0
309,39,196,2,2,1,169,1,1,2,2101110000,2769,2746,33,0,71723380,25254,0,0,0,0
309,6,196,25,25,1,434,1,1,2,8708391000,5286,5141,11,452,21942458,7726,0,0,0,0
309,6,196,25,25,1,434,1,1,2,8708395000,174,169,11,56,1366078,481,0,0,0,0
309,6,242,5,13,1,43,1,1,1,9021210000,3,3,11,2040,1874453,660,0,0,0,647
309,6,242,5,13,1,43,1,1,1,3906100000,1025,989,33,0,12337308,4344,0,0,0,3731
309,6,242,5,13,1,43,1,1,1,3006401000,11,11,33,0,3206450,1129,0,0,0,797
309,6,249,25,25,1,221,1,1,2,6907900000,11811,11651,82,463,6634427,2336,0,0,0,0
309,6,249,25,25,1,221,1,1,1,6908900000,90792,89432,82,5072,60104613,21163,0,0,0,21163
309,6,391,25,25,1,43,1,1,1,6908900000,27160,26760,82,1728,8832649,3110,0,0,0,3110
